masse_A
time	x	y	v_{x}	v_{y}
0.000	-0.012	-0.002		
0.067	-0.004	-0.010	0.044	0.035
0.133	-0.007	0.003	-0.018	0.061
0.200	-0.007	-0.002	0.018	-0.026
0.267	-0.004	-0.001	0.018	0.009
0.333	-0.004	-0.001	0.044	-0.000
0.400	0.002	-0.001	0.114	-0.035
0.467	0.011	-0.005	0.070	-0.018
0.533	0.011	-0.003	0.009	-0.026
0.600	0.012	-0.009	0.000	-0.053
0.667	0.011	-0.010	-0.096	-0.167
0.733	-0.001	-0.031	-0.184	-0.360
0.800	-0.014	-0.058	-0.263	-0.333
0.867	-0.036	-0.075	-0.342	-0.246
0.933	-0.059	-0.091	-0.456	-0.421
1.000	-0.097	-0.132	-0.561	-0.623
1.067	-0.134	-0.174	-0.596	-0.623
1.133	-0.176	-0.215	-0.763	-0.579
1.200	-0.236	-0.251	-0.737	-0.395
1.267	-0.274	-0.267	-0.552	-0.272
1.333	-0.309	-0.287	-0.395	-0.123
1.400	-0.327	-0.284	-0.246	-0.018
1.467	-0.342	-0.289	-0.246	-0.035
1.533	-0.360	-0.288	-0.158	0.096
1.600	-0.363	-0.277	-0.026	0.114
1.667	-0.363	-0.273	0.000	0.018
1.733	-0.363	-0.274	0.018	-0.079
1.800	-0.361	-0.284	0.035	-0.132
1.867	-0.358	-0.292	0.184	-0.254
1.933	-0.336	-0.318	0.289	-0.351
2.000	-0.320	-0.339	0.272	-0.316
2.067	-0.300	-0.360	0.228	-0.246
2.133	-0.290	-0.371	0.061	-0.061
2.200	-0.292	-0.368	-0.026	0.035
2.267	-0.293	-0.367	-0.079	-0.026
2.333	-0.302	-0.371	-0.228	-0.018
2.400	-0.323	-0.369	-0.719	0.263
2.467	-0.398	-0.336	-1.535	0.842
2.533	-0.528	-0.257	-2.420	1.938
2.600	-0.721	-0.078	-2.526	3.964
2.667	-0.865	0.272	-0.798	6.042
2.733	-0.827	0.728	2.587	6.033
2.800	-0.520	1.076	3.253	3.210
2.867	-0.394	1.156	1.263	0.658
2.933	-0.351	1.164	0.377	0.035
3.000	-0.343	1.160	0.000	-0.079
3.067	-0.351	1.153	-0.079	-0.070
3.133	-0.354	1.151	0.009	0.026
3.200	-0.350	1.157	0.070	0.026
3.267	-0.344	1.155	0.096	-0.009
3.333	-0.337	1.156	0.132	-0.009
3.400	-0.327	1.153	0.263	-0.044
3.467	-0.302	1.150	0.386	-0.018
3.533	-0.275	1.151	0.281	0.026
3.600	-0.265	1.153	-0.219	-0.044
3.667	-0.305	1.145	-1.105	-0.517
3.733	-0.412	1.084	-2.543	-1.991
3.800	-0.644	0.880	-2.587	-4.630
3.867	-0.757	0.467	0.149	-7.182
3.933	-0.624	-0.078	2.964	-5.963
4.000	-0.362	-0.328	2.841	-2.341
4.067	-0.245	-0.390	0.973	-0.500
4.133	-0.232	-0.395	-0.044	0.044
4.200	-0.251	-0.384	-0.228	0.167
4.267	-0.263	-0.372	-0.210	0.184
4.333	-0.279	-0.360	-0.105	0.167
4.400	-0.277	-0.350	-0.079	0.140
4.467	-0.290	-0.341	-0.149	0.210
4.533	-0.297	-0.322	-0.079	0.184
4.600	-0.300	-0.316	-0.070	0.079
4.667	-0.306	-0.312	-0.061	0.132
4.733	-0.308	-0.299	-0.026	0.070
4.800	-0.309	-0.302	-0.053	-0.009
4.867	-0.315	-0.300	-0.035	0.009
4.933	-0.314	-0.301	0.026	0.070
5.000	-0.312	-0.291	0.070	-0.000
5.067	-0.305	-0.301		
