masse_A
time	x	y	v_{x}	v_{y}
0.000	0.353	0.275	0	0
0.067	0.361	0.267	0.044	0.035
0.133	0.359	0.279	-0.018	0.061
0.200	0.359	0.275	0.018	-0.026
0.267	0.361	0.276	0.018	0.009
0.333	0.361	0.276	0.044	-0.000
0.400	0.367	0.276	0.114	-0.035
0.467	0.376	0.271	0.070	-0.018
0.533	0.376	0.274	0.009	-0.026
0.600	0.378	0.268	0.000	-0.053
0.667	0.376	0.267	-0.096	-0.167
0.733	0.365	0.246	-0.184	-0.360
0.800	0.352	0.219	-0.263	-0.333
0.867	0.330	0.201	-0.342	-0.246
0.933	0.306	0.186	-0.456	-0.421
1.000	0.269	0.145	-0.561	-0.623
1.067	0.232	0.103	-0.596	-0.623
1.133	0.189	0.062	-0.763	-0.579
1.200	0.130	0.026	-0.737	-0.395
1.267	0.091	0.009	-0.552	-0.272
1.333	0.056	-0.011	-0.395	-0.123
1.400	0.039	-0.007	-0.246	-0.018
1.467	0.023	-0.013	-0.246	-0.035
1.533	0.006	-0.012	-0.158	0.096
1.600	0.002	0.000	-0.026	0.114
1.667	0.002	0.004	0.000	0.018
1.733	0.002	0.002	0.018	-0.079
1.800	0.005	-0.007	0.035	-0.132
1.867	0.007	-0.015	0.184	-0.254
1.933	0.029	-0.041	0.289	-0.351
2.000	0.046	-0.062	0.272	-0.316
2.067	0.065	-0.083	0.228	-0.246
2.133	0.076	-0.095	0.061	-0.061
2.200	0.074	-0.091	-0.026	0.035
2.267	0.072	-0.090	-0.079	-0.026
2.333	0.063	-0.095	-0.228	-0.018
2.400	0.042	-0.092	-0.719	0.263
2.467	-0.033	-0.060	-1.535	0.842
2.533	-0.163	0.020	-2.420	1.938
2.600	-0.355	0.199	-2.526	3.964
2.667	-0.499	0.548	-0.798	6.042
2.733	-0.462	1.004	2.587	6.033
2.800	-0.154	1.353	3.253	3.210
2.867	-0.028	1.432	1.263	0.658
2.933	0.014	1.441	0.377	0.035
3.000	0.022	1.437	0.000	-0.079
3.067	0.014	1.430	-0.079	-0.070
3.133	0.012	1.428	0.009	0.026
3.200	0.015	1.434	0.070	0.026
3.267	0.021	1.431	0.096	-0.009
3.333	0.028	1.432	0.132	-0.009
3.400	0.039	1.430	0.263	-0.044
3.467	0.063	1.426	0.386	-0.018
3.533	0.090	1.428	0.281	0.026
3.600	0.101	1.430	-0.219	-0.044
3.667	0.061	1.422	-1.105	-0.517
3.733	-0.047	1.361	-2.543	-1.991
3.800	-0.278	1.156	-2.587	-4.630
3.867	-0.392	0.744	0.149	-7.182
3.933	-0.258	0.199	2.964	-5.963
4.000	0.004	-0.051	2.841	-2.341
4.067	0.120	-0.113	0.973	-0.500
4.133	0.133	-0.118	-0.044	0.044
4.200	0.115	-0.108	-0.228	0.167
4.267	0.103	-0.096	-0.210	0.184
4.333	0.087	-0.083	-0.105	0.167
4.400	0.089	-0.074	-0.079	0.140
4.467	0.076	-0.064	-0.149	0.210
4.533	0.069	-0.046	-0.079	0.184
4.600	0.065	-0.040	-0.070	0.079
4.667	0.060	-0.035	-0.061	0.132
4.733	0.057	-0.022	-0.026	0.070
4.800	0.056	-0.026	-0.053	-0.009
4.867	0.050	-0.023	-0.035	0.009
4.933	0.051	-0.025	0.026	0.070
5.000	0.054	-0.014	0.070	-0.000
5.067	0.061	-0.025		
