vecteur_A
time	angle
0.000	-114.2
0.067	-115.7
0.200	-109.5
0.267	-121.9
0.333	-143.5
0.400	178.1
0.467	127.7
0.533	81.1
0.600	80.1
0.667	83.3
0.733	81.1
0.800	83.8
0.867	83.2
0.933	81.8
1.000	82.7
1.067	78.8
1.133	79.3
1.200	76.1
1.267	74.0
1.333	77.1
1.400	83.7
1.467	101.1
1.533	127.7
1.600	-167.2
1.667	-131.8
1.733	-114.9
1.800	-112.7
