masse_A
t	x	y	v_{y}	v_{x}
0.133	-0.007	-0.006		
0.200	-0.004	0.005	0.081	-0.006
0.267	-0.008	0.005	-0.025	-0.000
0.333	-0.004	0.002	-0.044	0.019
0.400	-0.005	-0.001	-0.012	0.012
0.467	-0.002	-0.000	-0.019	0.044
0.533	0.000	-0.003	0.000	0.056
0.600	0.005	-0.000	0.037	0.056
0.667	0.008	0.002	0.012	0.019
0.733	0.008	0.002	0.037	0.012
0.800	0.010	0.007	0.050	-0.031
0.867	0.004	0.008	0.100	-0.056
0.933	0.002	0.020	0.237	-0.069
1.000	-0.005	0.040	0.293	-0.199
1.067	-0.024	0.059	0.299	-0.330
1.133	-0.049	0.080	0.455	-0.411
1.200	-0.079	0.120	0.523	-0.505
1.267	-0.117	0.150	0.542	-0.555
1.333	-0.153	0.192	0.598	-0.667
1.400	-0.206	0.229	0.505	-0.748
1.467	-0.253	0.259	0.374	-0.648
1.533	-0.292	0.279	0.243	-0.536
1.600	-0.324	0.292	0.100	-0.405
1.667	-0.346	0.292	0.000	-0.274
1.733	-0.361	0.292	-0.044	-0.174
1.800	-0.369	0.287	-0.093	-0.075
1.867	-0.371	0.279	-0.044	-0.025
1.933	-0.373	0.281	0.081	0.006
2.000	-0.370	0.290	0.106	0.044
2.067	-0.367	0.295	0.125	0.143
2.133	-0.351	0.307	0.224	0.243
2.200	-0.334	0.325	0.299	0.249
2.267	-0.318	0.346	0.337	0.337
2.333	-0.289	0.370	0.231	0.181
2.400	-0.294	0.377	0.069	-0.044
2.467	-0.295	0.379	-0.006	-0.075
2.533	-0.304	0.376	-0.025	-0.150
2.600	-0.315	0.376	-0.075	-0.424
2.667	-0.360	0.366	-0.424	-1.016
2.733	-0.451	0.319	-1.259	-1.901
2.800	-0.614	0.199	-2.823	-2.586
2.867	-0.796	-0.057	-4.898	-1.876
2.933	-0.864	-0.455	-6.369	0.592
3.000	-0.717	-0.907	-5.098	3.054
3.067	-0.457	-1.134	-1.988	2.630
3.133	-0.366	-1.172	-0.249	0.804
3.200	-0.349	-1.167	0.075	0.087
3.267	-0.354	-1.162	0.056	-0.081
3.333	-0.360	-1.160	0.000	-0.006
3.400	-0.355	-1.162	0.006	0.069
3.467	-0.351	-1.159	0.019	0.106
3.533	-0.341	-1.159	-0.031	0.125
3.600	-0.334	-1.163	-0.006	0.181
3.667	-0.317	-1.160	0.037	0.337
3.733	-0.289	-1.158	0.006	0.299
3.800	-0.277	-1.159	0.025	0.044
3.867	-0.284	-1.155	0.218	-0.561
3.933	-0.352	-1.130	0.897	-1.583
4.000	-0.495	-1.035	2.655	-2.530
4.067	-0.689	-0.776	5.334	-2.044
4.133	-0.767	-0.324	7.054	0.922
4.200	-0.566	0.164	5.035	3.340
4.267	-0.322	0.347	1.757	2.462
4.333	-0.238	0.399	0.330	0.580
4.400	-0.245	0.391	-0.143	-0.150
4.467	-0.258	0.380	-0.156	-0.218
4.533	-0.274	0.371	-0.181	-0.181
4.600	-0.282	0.356	-0.187	-0.106
4.667	-0.288	0.346	-0.156	-0.100
4.733	-0.295	0.335	-0.199	-0.075
4.800	-0.298	0.319	-0.168	-0.050
4.867	-0.302	0.312	-0.069	-0.062
4.933	-0.306	0.310	-0.019	-0.075
5.000	-0.312	0.310	-0.037	-0.050
5.067	-0.313	0.305	-0.037	-0.037
5.133	-0.317	0.305	-0.044	0.006
5.200	-0.312	0.299	-0.056	0.006
5.267	-0.316	0.297		
