masse_A;;;;;;
t;x;y;v_{x};v_{y};a_{x};a_{y}
22.67;0.34;-0.12;0.04;0.12;0.93;1.09
22.70;0.34;-0.11;0.10;0.18;0.29;0.22
22.73;0.35;-0.11;0.07;0.15;-1.02;-0.59
22.76;0.35;-0.10;0.02;0.12;-0.44;-0.15
22.80;0.35;-0.10;0.04;0.15;0.64;0.73
22.83;0.35;-0.10;0.06;0.16;0.86;0.87
22.86;0.35;-0.09;0.09;0.20;0.21;0.29
22.90;0.36;-0.08;0.09;0.20;-1.36;0.84
22.93;0.36;-0.08;0.00;0.23;-0.86;1.27
22.96;0.36;-0.07;0.01;0.30;0.61;2.91
22.99;0.36;-0.06;0.07;0.40;0.63;0.50
23.03;0.36;-0.04;0.04;0.38;-0.62;-1.71
23.06;0.36;-0.03;0.02;0.25;0.23;-1.70
23.09;0.36;-0.02;0.05;0.27;-0.07;0.35
23.13;0.36;-0.01;0.03;0.29;-0.86;1.20
23.16;0.36;-0.01;-0.02;0.33;-0.42;-0.29
23.19;0.36;0.01;0.01;0.30;0.79;-1.06
23.23;0.36;0.01;0.04;0.22;-0.37;1.77
23.26;0.37;0.02;-0.01;0.41;-0.61;1.99
23.29;0.36;0.04;-0.03;0.33;-0.23;0.27
23.36;0.36;0.05;-0.01;0.26;0.38;-1.49
23.39;0.36;0.07;-0.01;0.35;0.32;-0.50
23.42;0.36;0.08;0.01;0.33;0.14;-0.28
23.46;0.36;0.09;0.00;0.34;-1.92;0.48
23.49;0.36;0.10;-0.11;0.36;-1.35;-0.01
23.52;0.36;0.11;-0.12;0.34;0.56;0.57
23.56;0.35;0.12;-0.04;0.38;1.85;-0.69
23.59;0.35;0.14;-0.01;0.34;0.07;-0.21
23.62;0.35;0.14;-0.02;0.31;-0.85;-0.29
23.65;0.35;0.16;-0.08;0.36;-1.79;1.68
23.69;0.35;0.17;-0.13;0.39;-0.43;0.85
23.72;0.34;0.18;-0.12;0.44;0.85;0.43
23.75;0.34;0.20;-0.06;0.41;0.94;-1.83
23.79;0.34;0.21;-0.06;0.33;0.37;-1.56
23.82;0.34;0.22;-0.04;0.29;0.08;-0.50
23.85;0.34;0.23;-0.04;0.31;-1.07;0.41
23.89;0.33;0.24;-0.12;0.31;-0.72;0.84
23.92;0.33;0.25;-0.11;0.36;0.36;-0.56
23.95;0.33;0.26;-0.07;0.30;0.43;-0.21
23.98;0.32;0.27;-0.09;0.29;-0.21;-0.43
24.02;0.32;0.28;-0.09;0.33;-1.04;4.39
24.05;0.32;0.29;-0.14;0.51;-0.80;2.47
24.08;0.31;0.32;-0.17;0.60;0.73;-2.19
24.12;0.31;0.33;-0.08;0.30;0.68;-3.89
24.15;0.31;0.34;-0.11;0.31;-1.07;0.84
24.18;0.30;0.35;-0.18;0.42;0.20;0.92
24.22;0.29;0.36;-0.09;0.35;-1.07;0.91
24.25;0.29;0.37;-0.20;0.45;-1.55;-0.80
24.28;0.28;0.39;-0.27;0.37;0.80;-1.84
24.31;0.28;0.40;-0.10;0.24;2.29;-2.46
24.35;0.27;0.41;-0.11;0.27;-1.23;2.47
24.38;0.27;0.42;-0.21;0.36;-1.52;2.96
24.41;0.26;0.43;-0.21;0.51;0.92;0.58
24.45;0.25;0.45;-0.14;0.40;2.23;-3.03
24.48;0.25;0.46;-0.06;0.27;1.78;-1.19
24.51;0.25;0.47;-0.02;0.33;-2.01;2.53
24.55;0.25;0.48;-0.18;0.45;-2.20;0.19
24.58;0.24;0.50;-0.22;0.37;-0.49;-1.07
24.61;0.24;0.51;-0.15;0.32;1.59;-2.89
24.64;0.23;0.52;-0.15;0.24;0.87;-2.26
24.68;0.23;0.52;-0.08;0.11;1.70;-0.05
24.71;0.22;0.53;-0.04;0.25;-1.61;6.84
24.74;0.22;0.54;-0.15;0.52;-1.29;2.44
24.81;0.21;0.58;-0.17;0.45;0.67;-3.85
24.84;0.21;0.58;-0.08;0.18;2.18;-4.61
24.88;0.20;0.59;-0.05;0.27;0.55;1.92
24.91;0.20;0.60;-0.04;0.33;-0.02;1.56
24.94;0.20;0.61;-0.05;0.35;-0.59;2.62
24.97;0.20;0.62;-0.08;0.50;-0.12;4.89
25.01;0.20;0.64;-0.06;0.69;0.80;-1.69
25.04;0.20;0.67;-0.02;0.44;0.20;-5.53
25.07;0.20;0.67;-0.04;0.20;-0.03;-4.04
25.11;0.19;0.68;-0.04;0.25;0.61;3.05
25.14;0.19;0.69;0.01;0.36;0.69;2.13
25.17;0.19;0.71;0.00;0.45;1.06;0.79
25.21;0.19;0.72;0.06;0.38;0.68;2.84
25.24;0.20;0.73;0.08;0.61;-0.61;1.54
25.27;0.20;0.76;-0.02;0.43;-0.09;-0.45
25.34;0.20;0.77;0.04;0.31;3.23;-0.97
25.37;0.20;0.79;0.33;0.57;0.43;4.38
25.40;0.22;0.81;0.12;0.71;-1.12;0.82
25.47;0.21;0.86;-0.01;0.37;-0.47;-2.07
25.57;0.22;0.87;0.08;0.21;1.49;-2.74
25.60;0.22;0.89;0.28;0.47;0.29;-0.53
25.63;0.23;0.90;0.22;0.35;-2.34;-0.16
25.67;0.24;0.91;0.09;0.40;-2.64;1.60
25.70;0.24;0.93;0.06;0.52;0.14;0.00
25.73;0.24;0.95;0.09;0.38;3.24;9.53
25.77;0.25;0.95;0.27;1.03;0.16;2.00
25.80;0.26;1.01;0.07;0.44;-0.17;-1.72
25.93;0.26;1.03;0.05;0.15;-0.09;-4.48
25.97;0.27;1.04;0.25;0.28;0.72;-0.41
26.00;0.28;1.05;0.23;0.29;-0.79;1.58
26.03;0.28;1.06;0.13;0.30;0.89;1.78
26.10;0.29;1.08;0.19;0.33;0.31;-0.58
26.13;0.30;1.09;0.16;0.16;-0.36;-1.32
26.23;0.31;1.10;0.08;0.10;-0.83;-0.82
26.26;0.31;1.10;0.10;0.12;-0.48;-0.61
26.33;0.32;1.11;0.06;0.06;-0.90;-1.28
26.36;0.32;1.11;0.02;0.03;-0.95;-0.64
26.39;0.32;1.11;0.02;0.03;-1.40;0.35
26.43;0.32;1.11;-0.09;0.03;-1.45;0.28
26.56;0.31;1.12;-0.14;0.05;-0.02;0.02
26.59;0.30;1.12;-0.18;0.07;1.38;-0.56
26.63;0.29;1.12;-0.08;0.02;0.16;-1.56
26.66;0.29;1.12;-0.15;-0.04;-1.27;-0.23
26.69;0.28;1.12;-0.21;0.00;0.09;0.45
26.73;0.28;1.12;-0.08;0.02;0.53;0.14
26.79;0.28;1.12;-0.09;0.00;0.51;-0.02
26.83;0.27;1.12;0.00;0.01;0.36;0.06
26.99;0.28;1.12;0.02;0.01;0.16;-0.02
27.02;0.27;1.12;-0.03;0.01;-0.39;-0.09
27.06;0.27;1.12;0.00;0.00;0.57;-0.14
27.09;0.27;1.12;0.00;0.00;0.00;0.00
27.12;0.27;1.12;0.00;0.00;0.00;-0.28
27.16;0.27;1.12;0.00;-0.02;0.16;-1.42
27.19;0.27;1.12;0.01;-0.09;0.36;-0.78
27.22;0.27;1.12;0.03;-0.09;0.50;-0.63
27.25;0.28;1.12;0.04;-0.10;0.36;-0.28
27.29;0.28;1.11;0.05;-0.14;0.41;1.35
27.32;0.28;1.11;0.07;-0.01;-0.20;1.50
27.35;0.28;1.11;0.03;0.03;-0.14;0.09
27.42;0.28;1.11;0.02;-0.02;-0.27;-0.68
27.45;0.28;1.11;0.03;-0.02;-0.18;0.13
27.49;0.28;1.11;0.00;0.00;-0.43;0.42
27.52;0.28;1.11;0.01;0.00;0.21;0.00
27.55;0.28;1.11;0.02;0.00;0.00;0.00
27.58;0.28;1.11;0.01;0.00;0.65;-0.84
27.62;0.28;1.11;0.05;-0.05;0.58;-0.85
27.65;0.29;1.10;0.07;-0.07;-0.29;0.21
27.68;0.29;1.10;0.02;-0.02;-1.00;1.05
27.72;0.29;1.10;0.00;0.00;-0.29;0.28
27.75;0.29;1.10;0.00;-0.01;0.00;-0.07
27.78;0.29;1.10;0.00;-0.01;0.29;-0.35
27.82;0.29;1.10;0.02;-0.02;;
27.85;0.29;1.10;;;;
27.91;0.29;1.10;;;;
27.95;0.29;1.10;0.02;-0.01;;
27.98;0.29;1.10;0.00;0.00;-0.28;0.14
28.01;0.29;1.10;0.00;0.00;0.15;-0.42
28.05;0.29;1.10;0.01;-0.02;0.50;-0.78
28.08;0.29;1.10;0.03;-0.06;0.29;-0.21
28.11;0.29;1.10;0.03;-0.04;0.42;0.64
28.15;0.29;1.10;0.05;-0.01;0.28;0.64
28.18;0.30;1.10;0.07;0.00;-0.28;0.14
28.21;0.30;1.10;0.02;0.00;-0.92;-0.01
28.24;0.30;1.10;0.00;0.00;-0.28;-0.29
28.28;0.30;1.10;0.01;-0.02;0.36;-0.71
28.31;0.30;1.09;0.03;-0.05;0.03;-0.06
28.34;0.30;1.09;0.01;-0.02;0.32;-0.68
28.44;0.30;1.09;0.03;-0.06;0.03;0.03
28.48;0.30;1.08;0.05;-0.09;-0.26;0.59
28.51;0.30;1.09;-0.01;0.03;-0.37;1.70
28.54;0.30;1.09;0.03;-0.01;0.72;-0.77
28.58;0.31;1.09;0.05;-0.02;-0.14;0.00
28.61;0.31;1.09;0.02;-0.01;-0.27;-0.50
28.64;0.31;1.09;0.01;-0.04;-0.09;-0.23
28.71;0.31;1.08;0.01;-0.04;0.09;0.05
28.74;0.31;1.08;0.02;-0.02;0.09;0.32
28.77;0.31;1.08;0.03;-0.04;0.57;-0.35
28.81;0.31;1.08;0.05;-0.04;0.14;0.07
28.84;0.31;1.08;0.05;-0.04;-0.14;0.07
28.87;0.31;1.08;0.03;-0.03;0.00;-0.14
28.91;0.31;1.08;0.05;-0.05;0.43;-0.42
28.94;0.32;1.07;0.07;-0.06;-0.29;0.28
28.97;0.32;1.07;0.03;-0.03;-0.85;0.42
29.00;0.32;1.07;0.00;-0.02;-0.57;0.21
29.04;0.32;1.07;0.00;-0.03;0.00;0.00
29.07;0.32;1.07;0.00;-0.02;0.00;0.43
29.10;0.32;1.07;0.00;-0.01;0.14;0.50
29.14;0.32;1.07;0.01;0.02;0.07;0.29
29.17;0.32;1.07;0.01;0.02;0.22;-0.14
29.20;0.32;1.07;0.02;0.00;0.00;-0.29
29.23;0.32;1.07;0.02;0.00;-0.14;0.00
29.27;0.32;1.07;0.00;0.00;0.14;0.00
29.30;0.32;1.07;0.02;0.00;0.64;0.01
29.33;0.32;1.07;0.05;0.00;1.43;-0.84
29.37;0.32;1.07;0.11;-0.05;0.22;-0.57
29.40;0.33;1.07;0.09;-0.06;-0.49;-0.93
29.43;0.33;1.07;0.04;-0.08;;
29.47;0.33;1.06;;;;
29.53;0.33;1.06;;;;
29.56;0.33;1.06;0.01;-0.03;;
29.60;0.33;1.06;0.01;-0.02;-0.08;0.42
29.63;0.33;1.06;0.00;0.01;-0.15;0.35
29.66;0.33;1.06;0.00;0.00;0.00;0.00
29.70;0.33;1.06;0.00;0.01;0.00;0.07
29.73;0.33;1.06;0.00;0.01;0.00;-0.07
29.76;0.33;1.06;0.00;0.00;0.00;-0.14
29.80;0.33;1.06;0.00;0.00;0.00;0.00
29.83;0.33;1.06;0.00;0.00;0.00;0.00
29.86;0.33;1.06;0.00;0.00;1.42;0.01
29.89;0.33;1.06;0.08;0.00;0.85;-0.28
29.93;0.34;1.06;0.09;-0.02;-0.49;-0.15
29.96;0.34;1.06;0.02;-0.02;-1.42;-0.01
29.99;0.34;1.06;0.01;-0.01;-0.21;0.21
30.03;0.34;1.06;0.00;-0.01;-0.14;0.07
30.06;0.34;1.06;0.00;0.00;0.00;0.14
30.09;0.34;1.06;0.00;0.00;0.16;-1.84
30.13;0.34;1.06;0.01;-0.11;-0.21;-0.78
30.16;0.34;1.05;-0.01;-0.10;0.92;0.29
30.19;0.34;1.05;0.05;-0.03;0.70;1.42
30.22;0.34;1.05;0.07;-0.04;-0.36;0.63
30.26;0.34;1.05;0.00;0.02;-0.57;0.35
30.29;0.34;1.05;0.03;-0.01;1.29;-1.19
30.32;0.35;1.05;0.10;-0.07;0.71;-0.49
30.36;0.35;1.04;0.08;-0.04;-0.42;-0.36
30.39;0.35;1.04;0.06;-0.07;-0.78;-0.22
30.42;0.35;1.04;0.04;-0.09;-0.65;0.77
30.46;0.35;1.04;0.01;0.00;-0.51;1.70
30.49;0.35;1.04;0.01;0.02;0.49;0.36
30.52;0.36;1.04;0.04;0.02;0.50;-0.28
30.55;0.36;1.04;0.05;0.01;-0.28;-0.50
30.59;0.36;1.04;0.02;-0.02;;
30.62;0.36;1.04;;;;
30.69;0.36;1.04;;;;
30.72;0.36;1.04;0.13;-0.02;;
30.75;0.37;1.04;0.10;-0.07;-1.11;-1.04
30.79;0.37;1.03;0.00;-0.09;-0.72;0.17
30.82;0.37;1.03;0.07;-0.06;1.16;-0.21
30.85;0.37;1.03;0.09;-0.09;-0.49;0.13
30.88;0.38;1.02;0.03;-0.08;-0.99;0.35
30.92;0.38;1.02;0.02;-0.03;-0.05;0.36
30.95;0.38;1.02;0.04;-0.07;0.77;-0.98
30.98;0.38;1.02;0.06;-0.10;0.26;0.32
31.02;0.38;1.02;0.06;-0.06;-0.38;1.92
31.05;0.38;1.02;0.03;0.04;-0.72;0.93
31.08;0.38;1.02;0.02;0.02;-0.13;-0.72
31.12;0.38;1.02;0.02;-0.04;0.82;-1.38
31.15;0.39;1.02;0.07;-0.06;1.12;-0.48
31.18;0.39;1.01;0.10;-0.08;0.45;-0.04
31.21;0.39;1.01;0.09;-0.06;-0.54;0.40
31.25;0.40;1.01;0.07;-0.05;-1.03;0.57
31.28;0.40;1.01;0.03;-0.03;-0.94;0.30
31.31;0.40;1.01;0.00;-0.02;-0.45;-0.05
31.35;0.40;1.01;0.00;-0.04;0.27;-0.49
31.38;0.40;1.01;0.02;-0.05;0.22;0.05
31.41;0.40;1.00;0.02;-0.04;0.00;0.22
31.45;0.40;1.00;0.01;-0.03;0.00;0.13
31.48;0.40;1.00;0.02;-0.03;0.27;-0.18
31.51;0.40;1.00;0.03;-0.04;0.45;-0.49
31.54;0.40;1.00;0.05;-0.06;0.41;-0.71
31.58;0.40;1.00;0.06;-0.09;0.18;-0.22
31.61;0.40;0.99;0.06;-0.08;-0.41;0.58
31.64;0.41;0.99;0.04;-0.05;-0.68;0.93
31.68;0.41;0.99;0.01;-0.02;-0.54;0.66
31.71;0.41;0.99;0.00;0.00;0.00;0.00
31.74;0.41;0.99;0.01;-0.02;0.18;-0.22
31.78;0.41;0.99;0.02;-0.02;0.15;-1.16
31.81;0.41;0.99;0.02;-0.08;0.32;-0.85
31.84;0.41;0.98;0.04;-0.10;0.49;-0.08
31.87;0.41;0.98;0.05;-0.06;0.44;0.54
31.91;0.41;0.98;0.06;-0.07;0.36;-0.53
31.94;0.41;0.98;0.08;-0.10;-0.30;0.93
31.97;0.42;0.97;0.05;-0.03;-0.95;1.48
32.01;0.42;0.98;0.01;0.03;-0.09;-0.87
32.04;0.42;0.98;0.04;-0.09;0.94;-3.15
32.07;0.42;0.97;0.08;-0.19;1.14;-1.00
32.10;0.42;0.96;0.11;-0.15;-0.24;1.80
32.14;0.43;0.96;0.08;-0.06;-0.23;0.34
32.17;0.43;0.96;0.07;-0.12;-0.55;-1.24
32.20;0.43;0.95;0.07;-0.18;0.11;-0.22
32.24;0.43;0.95;0.05;-0.12;1.15;-2.35
32.27;0.44;0.94;0.15;-0.30;0.81;-2.13
32.30;0.44;0.93;0.13;-0.35;-0.68;0.56
32.34;0.44;0.92;0.07;-0.18;-1.05;3.59
32.37;0.45;0.92;0.08;-0.14;-0.24;1.01
32.40;0.45;0.91;0.05;-0.10;0.01;-1.35
32.43;0.45;0.91;0.07;-0.22;0.13;-1.46
32.47;0.45;0.90;0.08;-0.25;2.48;-0.09
32.50;0.46;0.89;0.20;-0.18;0.79;-0.22
32.53;0.47;0.89;0.20;-0.27;0.13;-1.91
32.57;0.47;0.87;0.13;-0.32;-0.68;0.11
32.60;0.48;0.86;0.20;-0.26;2.59;0.25
32.63;0.48;0.86;0.28;-0.28;-1.23;-0.69
32.67;0.49;0.85;0.17;-0.34;-3.49;0.19
32.70;0.49;0.84;-0.02;-0.26;-2.49;1.55
32.73;0.49;0.83;0.03;-0.22;1.80;-0.09
32.76;0.49;0.82;0.11;-0.27;2.27;-1.89
32.80;0.50;0.81;0.17;-0.35;0.58;-1.46
32.83;0.51;0.80;0.16;-0.38;0.23;-0.34
32.86;0.51;0.79;0.16;-0.36;0.23;-0.22
32.90;0.52;0.77;0.20;-0.39;0.13;-1.57
32.93;0.52;0.76;0.16;-0.47;-0.88;-1.58
32.96;0.53;0.74;0.13;-0.51;-0.24;1.01
33.00;0.53;0.73;0.15;-0.40;-1.03;1.68
33.03;0.54;0.72;0.08;-0.36;0.23;-0.67
33.06;0.54;0.70;0.12;-0.47;1.51;-4.94
33.09;0.55;0.69;0.23;-0.67;0.52;-1.72
33.13;0.55;0.66;0.11;-0.47;0.04;-3.60
33.19;0.56;0.64;0.14;-0.62;0.18;0.81
33.23;0.57;0.60;0.12;-0.37;-0.01;1.07
33.33;0.57;0.59;0.09;-0.23;-1.07;2.09
33.36;0.58;0.57;0.10;-0.61;-0.42;-2.66
33.39;0.58;0.55;0.09;-0.74;1.22;-6.54
33.42;0.58;0.52;0.16;-0.89;0.63;-0.84
33.49;0.59;0.46;0.10;-0.42;-1.13;3.19
33.59;0.60;0.45;0.00;-0.23;-0.86;1.90
33.62;0.59;0.43;0.01;-0.73;0.16;-1.39
33.66;0.60;0.40;0.07;-0.55;0.42;1.59
33.72;0.60;0.38;0.00;-0.35;-1.32;2.15
33.75;0.60;0.37;-0.02;-0.55;-0.27;-1.59
33.79;0.60;0.34;-0.02;-0.77;1.59;-1.22
33.82;0.60;0.32;0.07;-0.62;-1.50;3.36
33.85;0.60;0.30;-0.06;-0.49;-1.05;4.27
33.89;0.59;0.28;-0.10;-0.39;0.91;-1.12
33.92;0.60;0.27;0.08;-0.49;0.48;-2.92
33.95;0.60;0.25;-0.07;-0.68;-3.06;-9.03
33.99;0.59;0.23;-0.17;-0.99;-0.68;-1.91
34.02;0.59;0.18;-0.07;-0.55;-0.84;-1.56
34.12;0.58;0.16;-0.14;-0.53;-0.21;1.40
34.15;0.57;0.11;-0.13;-0.44;0.27;1.58
34.25;0.57;0.10;-0.07;-0.25;-0.46;0.85
34.28;0.56;0.08;-0.34;-0.78;-1.05;-1.33
34.32;0.54;0.05;-0.26;-0.58;0.64;0.94
34.38;0.53;0.02;-0.16;-0.41;1.47;4.84
34.41;0.53;0.01;-0.23;-0.39;-0.16;1.30
34.45;0.52;0.00;-0.28;-0.43;-0.69;1.46
34.48;0.51;-0.02;-0.27;-0.39;-1.70;1.56
34.51;0.50;-0.03;-0.37;-0.24;-4.59;-2.30
34.55;0.49;-0.04;-0.59;-0.55;-1.70;-2.47
34.58;0.46;-0.07;-0.39;-0.39;0.49;1.52
34.65;0.45;-0.08;-0.33;-0.20;1.41;3.11
34.68;0.43;-0.09;-0.47;-0.28;0.43;0.22
34.71;0.42;-0.10;-0.43;-0.30;1.92;-0.77
34.74;0.40;-0.11;-0.36;-0.32;1.35;0.24
34.78;0.39;-0.12;-0.31;-0.30;1.56;1.48
34.81;0.38;-0.13;-0.28;-0.21;0.90;0.23
34.84;0.37;-0.13;-0.23;-0.26;0.23;-0.90
34.88;0.37;-0.14;-0.27;-0.31;-0.33;-0.45
34.91;0.36;-0.15;-0.27;-0.26;-0.80;1.12
34.94;0.35;-0.16;-0.30;-0.25;-2.80;-1.04
34.98;0.34;-0.17;-0.46;-0.32;-1.43;-0.73
35.01;0.32;-0.18;-0.32;-0.24;2.22;1.53
35.07;0.30;-0.19;-0.15;-0.11;0.78;0.87
35.11;0.30;-0.19;-0.32;-0.20;0.50;0.51
35.14;0.28;-0.20;-0.31;-0.21;2.02;0.70
35.17;0.28;-0.21;-0.06;-0.07;3.27;-0.53
35.21;0.28;-0.21;-0.14;-0.26;-2.33;-2.95
35.24;0.27;-0.22;-0.22;-0.31;-7.51;-3.00
35.27;0.27;-0.23;-0.59;-0.38;-0.80;0.32
35.31;0.23;-0.25;-0.21;-0.14;0.76;0.52
35.44;0.23;-0.25;-0.10;-0.07;1.74;0.67
35.47;0.22;-0.26;-0.28;-0.25;0.36;0.11
35.50;0.21;-0.27;-0.14;-0.17;3.69;2.85
35.54;0.21;-0.27;-0.05;-0.04;1.33;1.93
35.57;0.21;-0.27;-0.04;-0.04;-1.90;-1.71
35.60;0.21;-0.27;-0.18;-0.16;-2.44;-0.89
35.64;0.20;-0.28;-0.21;-0.11;-0.15;0.59
35.70;0.18;-0.28;-0.09;-0.01;1.21;0.34
35.80;0.18;-0.28;-0.02;-0.03;1.35;0.93
35.83;0.18;-0.29;0.05;0.09;-0.30;0.25
35.87;0.18;-0.28;-0.07;0.10;-3.93;-0.94
35.90;0.18;-0.28;-0.25;-0.09;-0.78;-1.02
35.93;0.17;-0.28;-0.13;0.08;2.05;1.16
35.97;0.17;-0.28;-0.05;0.03;2.52;-0.66
36.00;0.17;-0.28;-0.03;-0.04;-1.84;1.47
36.03;0.17;-0.28;-0.11;0.15;0.50;0.91
36.06;0.16;-0.27;-0.03;0.06;-0.40;-0.30
36.16;0.16;-0.27;-0.02;0.03;1.56;-0.69
36.20;0.16;-0.27;0.04;0.07;-0.75;-0.16
36.23;0.17;-0.27;0.01;0.01;-1.69;0.10
36.26;0.16;-0.27;-0.22;0.06;-2.81;-0.14
36.30;0.15;-0.26;-0.10;0.04;1.88;-0.49
36.33;0.15;-0.26;-0.03;-0.02;0.94;-0.57
36.39;0.15;-0.26;0.00;0.00;0.43;0.29
36.43;0.15;-0.26;0.00;0.00;;
36.46;0.15;-0.26;;;;
39.63;0.14;-0.28;;;;
40.78;0.17;-0.26;;;;
40.82;0.18;-0.27;0.20;-0.05;;
40.85;0.19;-0.27;0.12;0.01;-3.05;0.98
40.88;0.19;-0.27;-0.04;0.00;-2.37;0.20
40.91;0.18;-0.27;-0.04;0.03;0.36;0.15
40.95;0.18;-0.27;0.01;0.02;0.79;-0.14
41.01;0.19;-0.27;0.03;0.00;0.07;-0.29
41.05;0.19;-0.27;0.03;0.00;-0.29;0.00
41.08;0.19;-0.27;0.00;0.00;-0.10;0.00
41.11;0.19;-0.27;0.01;0.00;0.15;0.00
41.21;0.19;-0.27;0.01;0.00;0.00;0.00
41.25;0.19;-0.27;0.01;0.00;0.34;0.40
41.28;0.19;-0.27;0.06;0.05;1.03;0.60
41.31;0.19;-0.26;0.09;0.05;0.69;0.11
41.41;0.20;-0.26;0.09;0.03;-0.29;-0.25
41.44;0.21;-0.26;0.12;0.05;-0.94;-0.31
41.48;0.21;-0.26;0.05;0.04;-0.69;1.01
41.51;0.21;-0.26;0.05;0.09;-2.49;0.99
41.54;0.21;-0.25;-0.07;0.14;-2.13;-0.58
41.58;0.20;-0.25;-0.16;0.04;0.25;-2.59
41.61;0.20;-0.25;-0.01;-0.04;2.81;0.37
41.64;0.20;-0.25;0.04;0.05;1.68;0.47
41.68;0.20;-0.24;0.08;0.04;1.12;0.12
41.71;0.21;-0.25;0.13;0.00;0.45;0.23
41.74;0.21;-0.24;0.10;0.09;-1.36;1.22
41.77;0.22;-0.24;0.04;0.08;-0.34;-0.23
41.81;0.22;-0.24;0.06;0.07;0.35;-0.78
41.84;0.22;-0.24;0.09;0.04;0.55;1.69
41.87;0.22;-0.24;0.08;0.14;-0.90;0.10
41.91;0.22;-0.23;0.05;0.12;-0.45;-0.12
41.94;0.22;-0.23;0.03;0.05;0.23;-0.22
41.97;0.23;-0.22;0.08;0.16;1.12;0.91
42.01;0.23;-0.22;0.10;0.11;0.68;-0.89
42.04;0.23;-0.22;0.12;0.08;-3.04;-0.25
42.07;0.24;-0.21;-0.07;0.10;-1.03;1.34
42.10;0.23;-0.21;-0.04;0.16;1.24;0.01
42.14;0.23;-0.20;0.12;0.13;1.92;-1.11
42.17;0.24;-0.20;0.04;0.05;-0.78;-0.91
42.20;0.24;-0.20;0.06;0.08;1.23;0.91
42.24;0.24;-0.20;0.13;0.12;0.45;0.12
42.27;0.25;-0.19;0.10;0.09;-0.90;-0.35
42.30;0.25;-0.19;0.05;0.08;-0.73;0.86
42.34;0.25;-0.19;0.02;0.12;0.25;0.50
42.40;0.25;-0.18;0.04;0.09;1.00;0.11
42.47;0.25;-0.17;0.13;0.11;0.16;-0.70
42.50;0.26;-0.17;0.13;0.12;-0.73;0.79
42.53;0.26;-0.17;0.06;0.18;-1.91;-0.02
42.57;0.27;-0.15;0.05;0.20;-0.43;-1.69
42.60;0.27;-0.15;0.00;0.01;0.03;-2.81
42.63;0.27;-0.15;0.06;0.01;0.79;-0.10
42.67;0.27;-0.15;0.06;0.03;-0.56;-0.01
42.70;0.27;-0.15;0.01;0.00;-0.34;0.45
42.73;0.27;-0.15;0.04;0.05;0.78;0.46
42.76;0.27;-0.15;0.08;0.05;0.69;-0.22
42.80;0.28;-0.15;0.08;0.01;-0.68;-0.12
42.83;0.28;-0.15;0.04;0.05;-1.04;1.13
42.86;0.28;-0.15;0.00;0.09;-0.02;1.71
42.90;0.28;-0.14;0.04;0.16;0.25;0.44
42.93;0.28;-0.14;0.03;0.08;0.18;0.40
43.06;0.28;-0.13;0.02;0.09;0.04;-0.04
43.09;0.29;-0.12;0.08;0.21;0.22;0.22
43.13;0.29;-0.12;0.10;0.23;1.38;-2.91
43.16;0.29;-0.10;0.17;0.08;0.37;-2.92
43.19;0.30;-0.11;0.14;-0.05;-1.67;-1.82
43.23;0.30;-0.11;0.04;0.03;-2.15;1.10
43.26;0.30;-0.11;0.00;0.00;-0.23;0.45
43.29;0.30;-0.11;0.03;0.05;0.21;1.58
43.33;0.30;-0.10;0.02;0.12;-0.01;0.79
43.36;0.30;-0.10;0.01;0.10;0.11;-0.22
43.39;0.30;-0.10;0.04;0.09;0.12;-1.01
43.42;0.31;-0.09;0.03;0.05;-0.29;-0.15
43.46;0.31;-0.09;0.00;0.03;-0.29;0.14
43.52;0.31;-0.09;0.00;0.06;0.00;-0.07
43.56;0.31;-0.09;0.00;0.04;0.01;-0.79
43.59;0.31;-0.09;0.00;0.00;-0.47;2.47
43.62;0.31;-0.09;-0.03;0.18;0.19;3.15
43.66;0.30;-0.08;0.00;0.27;0.21;0.55
43.69;0.31;-0.07;0.01;0.09;-0.11;-0.44
43.82;0.31;-0.06;-0.01;0.09;-0.58;-0.70
43.85;0.30;-0.06;-0.09;0.08;-0.10;-1.02
43.89;0.30;-0.06;-0.05;0.00;1.14;-1.34
43.92;0.30;-0.06;0.00;0.00;0.90;0.01
43.95;0.30;-0.06;0.00;0.00;-1.49;0.18
43.99;0.30;-0.06;-0.10;0.01;-1.54;0.88
44.09;0.29;-0.05;-0.15;0.06;0.24;1.09
44.12;0.28;-0.05;-0.12;0.21;1.83;-0.18
44.15;0.28;-0.04;-0.01;0.10;1.94;-2.68
44.19;0.28;-0.04;0.00;0.00;0.24;-1.80
44.22;0.28;-0.04;0.00;0.00;0.00;0.00
44.25;0.28;-0.04;0.00;0.00;0.00;0.00
44.28;0.28;-0.04;0.00;0.00;0.00;0.00
44.32;0.28;-0.04;0.00;0.00;0.00;0.00
44.35;0.28;-0.04;0.00;0.00;-0.90;-0.23
44.38;0.28;-0.04;-0.05;-0.01;-0.45;-0.12
44.42;0.28;-0.04;-0.05;-0.01;-0.44;-0.57
44.45;0.28;-0.04;-0.05;-0.04;-0.66;-1.47
44.48;0.27;-0.04;-0.12;-0.12;-0.11;-0.34
44.52;0.27;-0.05;-0.06;-0.08;0.11;0.45
44.55;0.27;-0.05;-0.08;-0.05;0.67;0.91
44.58;0.26;-0.05;-0.06;-0.05;2.34;2.05
44.61;0.26;-0.05;0.10;0.09;1.57;0.35
