masse_A
t;x;y
6,962000000E0;9,523754664E-1;4,322589887E-3
6,995000000E0;9,529424340E-1;1,625520027E-3
7,028000000E0;9,535094015E-1;-1,071549833E-3
7,061000000E0;9,529583302E-1;4,098853954E-6
7,094000000E0;9,496730978E-1;4,296096077E-3
7,127000000E0;9,491167278E-1;5,912218488E-3
7,160000000E0;9,490743377E-1;1,023600828E-2
7,260000000E0;9,495989151E-1;1,186272822E-2
7,326000000E0;9,500811025E-1;1,781323795E-2
7,359000000E0;9,500387124E-1;2,213702774E-2
7,392000000E0;9,473257462E-1;2,319148138E-2
7,425000000E0;9,489471674E-1;2,320737767E-2
7,458000000E0;9,510613734E-1;2,809283624E-2
7,491000000E0;9,456672337E-1;2,695890117E-2
7,524000000E0;9,413275476E-1;2,853793224E-2
7,557000000E0;9,478026348E-1;2,968246484E-2
7,590000000E0;9,450896687E-1;3,073691848E-2
7,623000000E0;9,445438962E-1;3,127209344E-2
7,656000000E0;9,429065787E-1;3,287761833E-2
7,689000000E0;9,407340863E-1;3,393737073E-2
7,721000000E0;9,310267543E-1;3,168009811E-2
7,754000000E0;9,320706104E-1;3,547401171E-2
7,787000000E0;9,547705068E-1;3,569655971E-2
7,853000000E0;9,547705068E-1;3,569655971E-2
7,886000000E0;9,547705068E-1;3,569655971E-2
7,919000000E0;9,547705068E-1;3,569655971E-2
7,952000000E0;9,547705068E-1;3,569655971E-2
7,985000000E0;9,547705068E-1;3,569655971E-2
8,018000000E0;9,547705068E-1;3,569655971E-2
8,051000000E0;9,547705068E-1;3,569655971E-2
8,084000000E0;9,547705068E-1;3,569655971E-2
8,117000000E0;9,547705068E-1;3,569655971E-2
8,150000000E0;9,547705068E-1;3,569655971E-2
8,183000000E0;9,547705068E-1;3,569655971E-2
8,216000000E0;9,547705068E-1;3,569655971E-2
8,249000000E0;9,547705068E-1;3,569655971E-2
8,282000000E0;9,547705068E-1;3,569655971E-2
8,315000000E0;9,547705068E-1;3,569655971E-2
8,348000000E0;9,547705068E-1;3,569655971E-2
8,381000000E0;9,536736631E-1;3,730738336E-2
8,414000000E0;9,536736631E-1;3,730738336E-2
8,447000000E0;9,536736631E-1;3,730738336E-2
8,479000000E0;9,536736631E-1;3,730738336E-2
8,512000000E0;9,536736631E-1;3,730738336E-2
8,545000000E0;9,536736631E-1;3,730738336E-2
8,578000000E0;9,536736631E-1;3,730738336E-2
8,611000000E0;9,487988021E-1;3,834064195E-2
8,644000000E0;9,471243933E-1;4,372948291E-2
8,677000000E0;9,514640794E-1;4,215045183E-2
8,710000000E0;9,514640794E-1;4,215045183E-2
8,743000000E0;9,514640794E-1;4,215045183E-2
8,776000000E0;9,514640794E-1;4,215045183E-2
8,809000000E0;9,514640794E-1;4,215045183E-2
8,842000000E0;9,514640794E-1;4,215045183E-2
8,875000000E0;9,449519009E-1;4,478923531E-2
8,908000000E0;9,400452472E-1;4,906533625E-2
8,941000000E0;9,470873019E-1;4,751279898E-2
8,974000000E0;9,427476159E-1;4,909183006E-2
9,007000000E0;9,405910197E-1;4,853016128E-2
9,073000000E0;9,330084913E-1;5,007739979E-2
9,106000000E0;9,378356635E-1;5,390840472E-2
9,139000000E0;9,345610286E-1;5,711945449E-2
9,172000000E0;9,356472748E-1;5,658957829E-2
9,205000000E0;9,318533612E-1;5,763343441E-2
9,238000000E0;9,302160437E-1;5,923895929E-2
9,304000000E0;9,291350963E-1;5,922836177E-2
9,337000000E0;9,296649725E-1;6,031460798E-2
9,403000000E0;9,291139012E-1;6,139025667E-2
9,436000000E0;9,291139012E-1;6,139025667E-2
9,469000000E0;9,258551626E-1;6,297988527E-2
9,502000000E0;9,258445651E-1;6,406083272E-2
9,535000000E0;9,252722988E-1;6,729837630E-2
9,568000000E0;9,236349813E-1;6,890390119E-2
9,601000000E0;9,193005940E-1;6,994245854E-2
9,634000000E0;9,155119792E-1;7,044584093E-2
9,667000000E0;9,176526790E-1;7,262893088E-2
9,700000000E0;9,160365566E-1;7,207256087E-2
9,733000000E0;9,160365566E-1;7,207256087E-2
9,766000000E0;9,149450116E-1;7,314291079E-2
9,799000000E0;9,138534667E-1;7,421326072E-2
9,832000000E0;9,111457993E-1;7,472724063E-2
9,865000000E0;9,089839044E-1;7,470604558E-2
9,898000000E0;9,089839044E-1;7,470604558E-2
9,931000000E0;9,095190793E-1;7,525181807E-2
9,964000000E0;9,192635027E-1;7,372577461E-2
9,997000000E0;9,116544804E-1;7,797538174E-2
1,003000000E1;9,078446705E-1;8,064065903E-2
1,006300000E1;9,067637231E-1;8,063006150E-2
1,009600000E1;9,067637231E-1;8,063006150E-2
1,012900000E1;8,981214423E-1;8,000480759E-2
1,019500000E1;9,029804070E-1;8,059297017E-2
1,022800000E1;9,013430896E-1;8,219849506E-2
1,026100000E1;8,997163696E-1;8,272307249E-2
1,029400000E1;8,991705971E-1;8,325824746E-2
1,032700000E1;8,975438772E-1;8,378282489E-2
1,039300000E1;8,980684546E-1;8,540954483E-2
1,042600000E1;8,996845771E-1;8,596591484E-2
1,045900000E1;8,985983308E-1;8,649579104E-2
1,049200000E1;8,975067859E-1;8,756614097E-2
1,052500000E1;8,964205397E-1;8,809601717E-2
1,055800000E1;8,964205397E-1;8,809601717E-2
1,062400000E1;8,947885210E-1;8,916106833E-2
1,065700000E1;8,931670998E-1;8,914517204E-2
1,069000000E1;8,937128723E-1;8,860999708E-2
1,072300000E1;8,937128723E-1;8,860999708E-2
1,075600000E1;8,937128723E-1;8,860999708E-2
1,078900000E1;8,937128723E-1;8,860999708E-2
1,082200000E1;8,915350811E-1;9,021022321E-2
1,085500000E1;8,915350811E-1;9,021022321E-2
1,088800000E1;8,969345196E-1;9,080368455E-2
1,092100000E1;8,926001323E-1;9,184224190E-2
1,095400000E1;8,904276398E-1;9,290199430E-2
1,098700000E1;8,904276398E-1;9,290199430E-2
1,102000000E1;8,877040762E-1;9,503739539E-2
1,105300000E1;8,877146737E-1;9,395644794E-2
1,108600000E1;8,871689012E-1;9,449162290E-2
1,111900000E1;8,871689012E-1;9,449162290E-2
1,115200000E1;8,871689012E-1;9,449162290E-2
1,118500000E1;8,839048638E-1;9,662172523E-2
1,121800000E1;8,822834426E-1;9,660582894E-2
1,125100000E1;8,822834426E-1;9,660582894E-2
1,128400000E1;8,795598790E-1;9,874123003E-2
1,131700000E1;8,790247040E-1;9,819545755E-2
1,135000000E1;8,779384578E-1;9,872533375E-2
1,138300000E1;8,773979841E-1;9,872003498E-2
1,141600000E1;8,773820878E-1;1,003414562E-1
1,144900000E1;8,773820878E-1;1,003414562E-1
1,148200000E1;8,773820878E-1;1,003414562E-1
1,151500000E1;8,773820878E-1;1,003414562E-1
1,154800000E1;8,773767890E-1;1,008819299E-1
1,158100000E1;8,725019280E-1;1,019151885E-1
1,161400000E1;8,719614543E-1;1,019098897E-1
1,164700000E1;8,719614543E-1;1,019098897E-1
1,168000000E1;8,719614543E-1;1,019098897E-1
1,171300000E1;8,719614543E-1;1,019098897E-1
1,174600000E1;8,719614543E-1;1,019098897E-1
1,177900000E1;8,698260532E-1;9,918632604E-2
1,184500000E1;8,747486031E-1;9,328880393E-2
1,194500000E1;8,742505194E-1;8,895971537E-2
1,197800000E1;8,759037332E-1;8,573276931E-2
1,201100000E1;8,770058757E-1;8,358147194E-2
1,204400000E1;8,749075659E-1;7,707459220E-2
1,211000000E1;8,749287610E-1;7,491269730E-2
1,221000000E1;8,705678798E-1;7,865362328E-2
1,230900000E1;8,759726171E-1;7,870661090E-2
1,234200000E1;8,732861448E-1;7,705869591E-2
1,237500000E1;8,732861448E-1;7,705869591E-2
1,244100000E1;8,733020410E-1;7,543727474E-2
1,247400000E1;8,739060999E-1;6,895688881E-2
1,250700000E1;8,739272950E-1;6,679499391E-2
1,254000000E1;8,739272950E-1;6,679499391E-2
1,257300000E1;8,739272950E-1;6,679499391E-2
1,260600000E1;8,739272950E-1;6,679499391E-2
1,263900000E1;8,739272950E-1;6,679499391E-2
1,267200000E1;8,739272950E-1;6,679499391E-2
1,270500000E1;8,739272950E-1;6,679499391E-2
1,273800000E1;8,739272950E-1;6,679499391E-2
1,277100000E1;8,733868212E-1;6,678969515E-2
1,280400000E1;8,701439789E-1;6,675790258E-2
1,283700000E1;8,701439789E-1;6,675790258E-2
1,287000000E1;8,701439789E-1;6,675790258E-2
1,290300000E1;8,701439789E-1;6,675790258E-2
1,293600000E1;8,701439789E-1;6,675790258E-2
1,296900000E1;8,685384540E-1;6,512058512E-2
1,300200000E1;8,669647217E-1;6,024042531E-2
1,303500000E1;8,664295467E-1;5,969465283E-2
1,306800000E1;8,691107203E-1;6,188304153E-2
1,310100000E1;8,664083517E-1;6,185654772E-2
1,313400000E1;8,604843358E-1;5,963636644E-2
1,316700000E1;8,610407058E-1;5,802024403E-2
1,320000000E1;8,572626885E-1;5,744267897E-2
1,323300000E1;8,545709174E-1;5,633523772E-2
