masse_A
t	x	y
0.400	0.008	-0.027
0.467	0.006	-0.015
0.533	0.012	0.000
0.600	0.008	0.011
0.667	0.009	0.009
0.733	0.005	0.021
0.800	0.003	0.023
0.867	0.005	0.039
0.933	0.008	0.033
1.000	0.006	0.026
1.067	0.015	0.015
1.133	0.020	-0.008
1.200	0.045	-0.022
1.267	0.068	-0.031
1.333	0.105	-0.058
1.400	0.151	-0.085
1.467	0.199	-0.103
1.533	0.238	-0.117
1.600	0.281	-0.129
1.667	0.339	-0.114
1.733	0.369	-0.097
1.800	0.392	-0.066
1.867	0.404	-0.035
1.933	0.404	-0.013
2.000	0.405	0.023
2.067	0.402	0.041
2.133	0.391	0.050
2.200	0.384	0.050
2.267	0.382	0.040
2.333	0.387	0.014
2.400	0.385	0.000
2.467	0.391	-0.013
2.533	0.392	-0.016
2.600	0.393	-0.007
2.667	0.393	0.000
2.733	0.406	-0.009
2.800	0.420	-0.024
2.867	0.433	-0.042
2.933	0.439	-0.031
3.000	0.443	0.008
3.067	0.469	0.100
3.133	0.493	0.248
3.200	0.511	0.442
3.267	0.485	0.647
3.333	0.449	0.841
3.400	0.439	0.971
3.467	0.443	1.039
3.533	0.435	1.063
3.600	0.419	1.067
3.667	0.407	1.065
3.733	0.400	1.063
3.800	0.399	1.058
3.867	0.398	1.062
3.933	0.400	1.070
4.000	0.402	1.070
4.067	0.405	1.058
4.133	0.396	1.048
4.200	0.390	1.028
4.267	0.375	0.996
4.333	0.364	0.920
4.400	0.359	0.801
4.467	0.354	0.633
4.533	0.362	0.431
4.600	0.367	0.212
4.667	0.356	0.033
4.733	0.361	-0.067
4.800	0.368	-0.101
4.867	0.373	-0.102
4.933	0.368	-0.092
5.000	0.366	-0.086
5.067	0.368	-0.096
5.133	0.369	-0.088
5.200	0.369	-0.087
5.267	0.370	-0.082
5.333	0.376	-0.070
5.400	0.385	-0.077
