masse_A
time	x	y	v_{x}	v_{y}
0.067	0.317	-0.069	0	0
0.133	0.316	-0.054	-0.061	0.208
0.200	0.309	-0.042	-0.087	0.113
0.267	0.305	-0.039	-0.052	-0.069
0.333	0.302	-0.051	-0.017	-0.147
0.400	0.302	-0.059	0.000	-0.156
0.467	0.302	-0.072	-0.087	-0.113
0.533	0.291	-0.074	-0.199	-0.009
0.600	0.276	-0.073	-0.225	0.035
0.667	0.261	-0.069	-0.390	-0.000
0.733	0.224	-0.073	-0.675	0.009
0.800	0.171	-0.068	-0.762	0.095
0.867	0.122	-0.060	-0.770	0.121
0.933	0.068	-0.052	-0.736	0.164
1.000	0.024	-0.038	-0.502	0.173
1.067	0.001	-0.029	-0.320	0.147
1.133	-0.018	-0.018	-0.199	0.095
1.200	-0.025	-0.016	-0.035	0.061
1.267	-0.023	-0.010	0.052	0.026
1.333	-0.018	-0.013	0.087	0.052
1.400	-0.012	-0.003	0.095	0.095
1.467	-0.006	0.000	0.069	-0.000
1.533	-0.002	-0.003	0.052	0.026
1.600	0.001	0.003	0.026	0.052
1.667	0.001	0.003	0.009	-0.000
1.733	0.002	0.003	-0.009	0.061
1.800	0.000	0.012	0.009	0.009
1.867	0.003	0.005	0.095	-0.061
1.933	0.013	0.003	0.104	-0.017
2.000	0.017	0.002	0.035	0.009
2.067	0.017	0.005	-0.052	0.035
2.133	0.010	0.007	-0.234	0.035
2.200	-0.014	0.009	-0.528	0.043
2.267	-0.060	0.013	-0.935	0.087
2.333	-0.138	0.021	-1.169	0.190
2.400	-0.216	0.038	-1.238	0.398
2.467	-0.304	0.074	-1.117	0.519
2.533	-0.365	0.107	-1.039	0.320
2.600	-0.442	0.117	-0.831	0.061
2.667	-0.476	0.115	-0.355	0.121
2.733	-0.489	0.133	-0.078	0.104
2.800	-0.486	0.129	0.052	-0.043
2.867	-0.482	0.127	0.026	-0.000
2.933	-0.482	0.129	0.017	-0.052
3.000	-0.480	0.120	0.009	-0.087
3.067	-0.481	0.118	0.035	-0.061
3.133	-0.476	0.112	0.052	-0.035
3.200	-0.474	0.113	0.035	-0.009
3.267	-0.471	0.111	0.026	0.052
3.333	-0.471	0.120	0.043	0.173
3.400	-0.465	0.134	0.104	0.087
3.467	-0.457	0.132	0.164	-0.043
3.533	-0.443	0.128	0.424	-0.113
3.600	-0.400	0.117	0.805	-0.225
3.667	-0.336	0.098	1.091	-0.303
3.733	-0.255	0.076	1.298	-0.268
3.800	-0.163	0.062	1.246	-0.190
3.867	-0.089	0.051	0.892	-0.173
3.933	-0.044	0.039	0.554	-0.035
4.000	-0.015	0.046	0.260	0.069
4.067	-0.009	0.048	0.061	0.043
4.133	-0.007	0.052	0.000	0.121
4.200	-0.009	0.065	-0.009	0.078
4.267	-0.008	0.062	0.009	-0.035
4.333	-0.008	0.060	-0.009	-0.052
4.400	-0.009	0.055	-0.009	-0.095
4.467	-0.009	0.047	0.026	-0.095
4.533	-0.006	0.043	0.026	-0.017
4.600	-0.006	0.045	0.017	0.017
4.667	-0.003	0.045	0.017	-0.000
4.733	-0.003	0.045	0.000	-0.000
4.800	-0.003	0.045		
