masse_A
t	x	y
0.400	-0.000	0.001
0.467	0.003	0.003
0.533	0.002	0.016
0.600	0.005	0.020
0.667	0.007	0.023
0.733	0.008	0.020
0.800	0.005	0.028
0.867	0.006	0.028
0.933	0.003	0.029
1.000	0.001	0.031
1.067	0.001	0.031
1.133	0.010	0.030
1.200	0.024	0.028
1.267	0.045	0.023
1.333	0.077	0.022
1.400	0.127	0.019
1.467	0.181	0.022
1.533	0.227	0.022
1.600	0.274	0.029
1.667	0.345	0.040
1.733	0.367	0.042
1.800	0.398	0.045
1.867	0.398	0.054
1.933	0.385	0.051
2.000	0.393	0.050
2.067	0.388	0.054
2.133	0.389	0.056
2.200	0.391	0.055
2.267	0.389	0.061
2.333	0.390	0.052
2.400	0.385	0.051
2.467	0.384	0.047
2.533	0.385	0.041
2.600	0.393	0.041
2.667	0.411	0.041
2.733	0.450	0.046
2.800	0.515	0.062
2.867	0.594	0.084
2.933	0.672	0.113
3.000	0.754	0.131
3.067	0.830	0.131
3.133	0.868	0.136
3.200	0.882	0.133
3.267	0.892	0.136
3.333	0.900	0.132
3.400	0.900	0.132
3.467	0.890	0.140
3.533	0.891	0.149
3.600	0.888	0.148
3.667	0.890	0.154
3.733	0.889	0.157
3.800	0.889	0.155
3.867	0.888	0.150
3.933	0.885	0.153
4.000	0.884	0.157
4.067	0.870	0.150
4.133	0.858	0.143
4.200	0.817	0.139
4.267	0.746	0.136
4.333	0.669	0.120
4.400	0.607	0.110
4.467	0.519	0.098
4.533	0.458	0.073
4.600	0.401	0.061
4.667	0.386	0.052
4.733	0.376	0.073
4.800	0.378	0.079
4.867	0.379	0.082
4.933	0.381	0.083
5.000	0.381	0.083
5.067	0.382	0.083
5.133	0.384	0.080
5.200	0.384	0.080
5.267	0.384	0.080
5.333	0.384	0.080
5.400	0.384	0.080
5.467	0.384	0.080
5.533	0.384	0.080
5.600	0.381	0.082
5.667	0.373	0.084
