masse_A
time	x	y	v_{x}	v_{y}
0.000	0.003	-0.024	0	0
0.067	0.005	-0.010	0.010	0.179
0.133	0.004	-0.001	0.040	0.139
0.200	0.011	0.009	0.050	-0.010
0.267	0.011	-0.002	0.000	-0.080
0.333	0.011	-0.002	0.020	-0.080
0.400	0.013	-0.012	0.040	-0.070
0.467	0.016	-0.011	0.010	-0.040
0.533	0.015	-0.018	-0.010	-0.109
0.600	0.015	-0.026	0.000	-0.119
0.667	0.015	-0.034	-0.050	-0.179
0.733	0.008	-0.050	-0.328	-0.109
0.800	-0.029	-0.048	-0.468	-0.070
0.867	-0.054	-0.059	-0.468	-0.199
0.933	-0.092	-0.075	-0.547	-0.348
1.000	-0.127	-0.105	-0.667	-0.289
1.067	-0.180	-0.113	-0.816	-0.189
1.133	-0.236	-0.131	-0.905	-0.199
1.200	-0.301	-0.140	-0.836	-0.119
1.267	-0.348	-0.146	-0.736	-0.040
1.333	-0.399	-0.145	-0.607	0.090
1.400	-0.428	-0.135	-0.298	0.199
1.467	-0.439	-0.119	-0.109	0.289
1.533	-0.443	-0.096	-0.060	0.348
1.600	-0.447	-0.072	0.010	0.398
1.667	-0.442	-0.043	0.090	0.348
1.733	-0.435	-0.026	0.129	0.229
1.800	-0.424	-0.012	0.090	0.109
1.867	-0.423	-0.011	0.030	-0.080
1.933	-0.421	-0.023	0.040	-0.139
2.000	-0.418	-0.030	0.030	-0.080
2.067	-0.417	-0.034	0.070	-0.159
2.133	-0.409	-0.051	0.099	-0.189
2.200	-0.403	-0.059	0.040	-0.119
2.267	-0.403	-0.067	-0.010	-0.139
2.333	-0.405	-0.077	-0.020	-0.159
2.400	-0.406	-0.088	-0.030	-0.000
2.467	-0.409	-0.077	-0.060	0.279
2.533	-0.414	-0.051	-0.348	0.915
2.600	-0.455	0.045	-0.716	2.258
2.667	-0.509	0.250	-0.617	3.283
2.733	-0.537	0.482	-0.149	3.711
2.800	-0.529	0.745	-0.109	3.731
2.867	-0.552	0.980	-0.109	2.457
2.933	-0.544	1.073	0.418	0.945
3.000	-0.496	1.106	0.438	0.269
3.067	-0.486	1.108	0.119	-0.010
3.133	-0.480	1.104	0.149	-0.050
3.200	-0.466	1.102	0.169	0.030
3.267	-0.458	1.108	0.139	0.099
3.333	-0.447	1.115	0.119	0.060
3.400	-0.442	1.116	0.030	-0.020
3.467	-0.443	1.112	0.020	-0.030
3.533	-0.439	1.112	0.080	-0.099
3.600	-0.432	1.099	0.199	-0.109
3.667	-0.413	1.098	0.159	-0.040
3.733	-0.411	1.094	-0.010	-0.229
3.800	-0.414	1.067	-0.010	-0.726
3.867	-0.413	0.997	0.189	-1.920
3.933	-0.389	0.811	0.408	-3.880
4.000	-0.358	0.480	-0.129	-4.596
4.067	-0.406	0.198	-0.358	-3.522
4.133	-0.406	0.010	0.209	-1.831
4.200	-0.378	-0.046	0.189	-0.567
4.267	-0.381	-0.066	0.000	-0.119
4.333	-0.378	-0.062	0.020	-0.000
4.400	-0.378	-0.066	-0.030	-0.030
4.467	-0.382	-0.066	-0.030	-0.000
4.533	-0.382	-0.066	0.000	-0.000
4.600	-0.382	-0.066	0.020	0.050
4.667	-0.379	-0.059	0.030	0.090
4.733	-0.378	-0.054		
