masse_A
time	x	y	v_{x}	v_{y}
0.000	0.419	0.015	0	0
0.067	0.422	0.029	0.010	0.179
0.133	0.420	0.038	0.040	0.139
0.200	0.427	0.048	0.050	-0.010
0.267	0.427	0.037	0.000	-0.080
0.333	0.427	0.037	0.020	-0.080
0.400	0.430	0.027	0.040	-0.070
0.467	0.432	0.028	0.010	-0.040
0.533	0.431	0.021	-0.010	-0.109
0.600	0.431	0.013	0.000	-0.119
0.667	0.431	0.005	-0.050	-0.179
0.733	0.424	-0.011	-0.328	-0.109
0.800	0.387	-0.009	-0.468	-0.070
0.867	0.362	-0.020	-0.468	-0.199
0.933	0.325	-0.036	-0.547	-0.348
1.000	0.289	-0.066	-0.667	-0.289
1.067	0.236	-0.074	-0.816	-0.189
1.133	0.180	-0.092	-0.905	-0.199
1.200	0.115	-0.101	-0.836	-0.119
1.267	0.069	-0.107	-0.736	-0.040
1.333	0.017	-0.106	-0.607	0.090
1.400	-0.012	-0.096	-0.298	0.199
1.467	-0.023	-0.080	-0.109	0.289
1.533	-0.027	-0.057	-0.060	0.348
1.600	-0.031	-0.033	0.010	0.398
1.667	-0.025	-0.004	0.090	0.348
1.733	-0.019	0.013	0.129	0.229
1.800	-0.008	0.027	0.090	0.109
1.867	-0.007	0.028	0.030	-0.080
1.933	-0.004	0.016	0.040	-0.139
2.000	-0.001	0.009	0.030	-0.080
2.067	-0.000	0.005	0.070	-0.159
2.133	0.008	-0.012	0.099	-0.189
2.200	0.013	-0.020	0.040	-0.119
2.267	0.013	-0.028	-0.010	-0.139
2.333	0.012	-0.038	-0.020	-0.159
2.400	0.011	-0.049	-0.030	-0.000
2.467	0.008	-0.038	-0.060	0.279
2.533	0.003	-0.012	-0.348	0.915
2.600	-0.038	0.084	-0.716	2.258
2.667	-0.093	0.289	-0.617	3.283
2.733	-0.121	0.521	-0.149	3.711
2.800	-0.113	0.784	-0.109	3.731
2.867	-0.135	1.019	-0.109	2.457
2.933	-0.127	1.112	0.418	0.945
3.000	-0.080	1.145	0.438	0.269
3.067	-0.069	1.147	0.119	-0.010
3.133	-0.064	1.143	0.149	-0.050
3.200	-0.049	1.141	0.169	0.030
3.267	-0.041	1.147	0.139	0.099
3.333	-0.031	1.154	0.119	0.060
3.400	-0.025	1.155	0.030	-0.020
3.467	-0.027	1.151	0.020	-0.030
3.533	-0.023	1.151	0.080	-0.099
3.600	-0.016	1.138	0.199	-0.109
3.667	0.004	1.137	0.159	-0.040
3.733	0.005	1.133	-0.010	-0.229
3.800	0.003	1.106	-0.010	-0.726
3.867	0.004	1.036	0.189	-1.920
3.933	0.028	0.850	0.408	-3.880
4.000	0.058	0.519	-0.129	-4.596
4.067	0.011	0.237	-0.358	-3.522
4.133	0.011	0.049	0.209	-1.831
4.200	0.038	-0.007	0.189	-0.567
4.267	0.036	-0.027	0.000	-0.119
4.333	0.038	-0.023	0.020	-0.000
4.400	0.038	-0.027	-0.030	-0.030
4.467	0.034	-0.027	-0.030	-0.000
4.533	0.034	-0.027	0.000	-0.000
4.600	0.034	-0.027	0.020	0.050
4.667	0.037	-0.020	0.030	0.090
4.733	0.038	-0.015		
