masse_A
t	x	y
0.467	0.007	-0.006
0.533	-0.005	0.009
0.600	-0.002	0.014
0.667	-0.004	0.007
0.733	-0.006	0.021
0.800	0.001	0.018
0.867	0.005	0.012
0.933	0.009	0.012
1.000	0.015	0.011
1.067	0.018	0.013
1.133	0.045	0.001
1.200	0.068	-0.004
1.267	0.094	-0.013
1.333	0.139	-0.029
1.400	0.194	-0.044
1.467	0.229	-0.067
1.533	0.281	-0.112
1.600	0.329	-0.147
1.667	0.386	-0.181
1.733	0.430	-0.195
1.800	0.444	-0.219
1.867	0.453	-0.228
1.933	0.447	-0.236
2.000	0.435	-0.236
2.067	0.425	-0.235
2.133	0.409	-0.238
2.200	0.416	-0.251
2.267	0.409	-0.253
2.333	0.405	-0.259
2.400	0.396	-0.262
2.467	0.391	-0.273
2.533	0.412	-0.265
2.600	0.434	-0.259
2.667	0.487	-0.238
2.733	0.563	-0.183
2.800	0.662	-0.072
2.867	0.755	0.093
2.933	0.814	0.298
3.000	0.818	0.512
3.067	0.785	0.674
3.133	0.706	0.848
3.200	0.593	0.971
3.267	0.481	1.039
3.333	0.388	1.069
3.400	0.324	1.073
3.467	0.290	1.077
3.533	0.278	1.077
3.600	0.272	1.077
3.667	0.268	1.078
3.733	0.267	1.077
3.800	0.263	1.069
3.867	0.259	1.069
3.933	0.251	1.071
4.000	0.246	1.082
4.067	0.260	1.095
4.133	0.306	1.101
4.200	0.372	1.087
4.267	0.457	1.054
4.333	0.555	0.986
4.400	0.652	0.879
4.467	0.738	0.719
4.533	0.784	0.516
4.600	0.783	0.299
4.667	0.720	0.065
4.733	0.575	-0.107
4.800	0.453	-0.218
4.867	0.345	-0.277
4.933	0.286	-0.296
5.000	0.293	-0.304
5.067	0.315	-0.283
