masse_A
time	x	y	v_{x}	v_{y}
0.000	0.088	0.004	0	0
0.067	0.088	0.004	-0.043	0.052
0.133	0.082	0.010	-0.035	0.104
0.200	0.083	0.017	0.026	0.052
0.267	0.086	0.017	0.017	-0.000
0.333	0.086	0.017	0.000	-0.000
0.400	0.086	0.017	0.000	-0.000
0.467	0.086	0.017	0.009	-0.035
0.533	0.087	0.013	0.087	-0.104
0.600	0.097	0.004	0.096	-0.052
0.667	0.099	0.006	0.087	0.026
0.733	0.109	0.007	0.113	-0.026
0.800	0.115	0.002	0.017	-0.070
0.867	0.111	-0.002	-0.226	-0.070
0.933	0.084	-0.007	-0.348	-0.009
1.000	0.065	-0.003	-0.435	-0.009
1.067	0.026	-0.008	-0.574	-0.043
1.133	-0.012	-0.009	-0.618	-0.000
1.200	-0.056	-0.008	-0.757	0.078
1.267	-0.113	0.001	-0.800	0.139
1.333	-0.163	0.010	-0.661	0.157
1.400	-0.201	0.022	-0.531	0.148
1.467	-0.233	0.030	-0.357	0.122
1.533	-0.248	0.038	-0.200	0.052
1.600	-0.260	0.037	-0.122	-0.017
1.667	-0.265	0.036	-0.052	0.009
1.733	-0.267	0.038	0.000	0.026
1.800	-0.265	0.039	0.017	0.017
1.867	-0.265	0.041	0.009	0.035
1.933	-0.264	0.044	0.052	0.035
2.000	-0.258	0.045	0.061	0.078
2.067	-0.255	0.055	0.043	0.009
2.133	-0.252	0.046	0.052	-0.026
2.200	-0.248	0.051	0.052	0.035
2.267	-0.245	0.051	0.078	-0.009
2.333	-0.238	0.050	0.130	-0.000
2.400	-0.228	0.051	0.139	-0.026
2.467	-0.219	0.046	-0.035	-0.026
2.533	-0.232	0.048	-0.757	0.200
2.600	-0.320	0.073	-2.001	0.592
2.667	-0.499	0.126	-2.523	0.600
2.733	-0.657	0.153	-1.566	0.278
2.800	-0.708	0.164	-0.391	0.435
2.867	-0.709	0.211	0.009	0.391
2.933	-0.707	0.216	0.009	0.017
3.000	-0.708	0.213	0.000	-0.000
3.067	-0.707	0.216	0.017	0.052
3.133	-0.706	0.220	0.009	0.061
3.200	-0.706	0.224	0.000	0.026
3.267	-0.706	0.224	0.000	-0.043
3.333	-0.706	0.218	0.043	-0.148
3.400	-0.700	0.204	0.035	-0.139
3.467	-0.701	0.200	-0.043	-0.078
3.533	-0.706	0.194	-0.148	-0.000
3.600	-0.721	0.200	-0.113	0.139
3.667	-0.721	0.212	0.217	0.157
3.733	-0.692	0.220	1.166	0.139
3.800	-0.565	0.231	2.305	-0.261
3.867	-0.384	0.186	1.992	-0.861
3.933	-0.300	0.116	0.809	-0.826
4.000	-0.276	0.075	0.226	-0.296
4.067	-0.269	0.077	0.026	0.122
4.133	-0.273	0.092	-0.009	0.122
4.200	-0.271	0.093	0.052	0.009
4.267	-0.266	0.093	0.043	0.009
4.333	-0.265	0.094	0.009	0.009
4.400	-0.265	0.094	0.000	-0.000
4.467	-0.265	0.094	0.000	-0.000
4.533	-0.265	0.094	0.009	-0.061
4.600	-0.264	0.086		
