masse_A
time	x	y	v_{x}	v_{y}
0.000	0.341	-0.046	0	0
0.067	0.341	-0.046	-0.043	0.052
0.133	0.335	-0.039	-0.035	0.104
0.200	0.336	-0.032	0.026	0.052
0.267	0.339	-0.032	0.017	-0.000
0.333	0.339	-0.032	0.000	-0.000
0.400	0.339	-0.032	0.000	-0.000
0.467	0.339	-0.032	0.009	-0.035
0.533	0.340	-0.037	0.087	-0.104
0.600	0.350	-0.046	0.096	-0.052
0.667	0.353	-0.044	0.087	0.026
0.733	0.362	-0.043	0.113	-0.026
0.800	0.368	-0.048	0.017	-0.070
0.867	0.364	-0.052	-0.226	-0.070
0.933	0.338	-0.057	-0.348	-0.009
1.000	0.318	-0.053	-0.435	-0.009
1.067	0.280	-0.058	-0.574	-0.043
1.133	0.241	-0.059	-0.618	-0.000
1.200	0.197	-0.058	-0.757	0.078
1.267	0.140	-0.049	-0.800	0.139
1.333	0.090	-0.039	-0.661	0.157
1.400	0.052	-0.028	-0.531	0.148
1.467	0.020	-0.020	-0.357	0.122
1.533	0.005	-0.012	-0.200	0.052
1.600	-0.007	-0.013	-0.122	-0.017
1.667	-0.012	-0.014	-0.052	0.009
1.733	-0.014	-0.012	0.000	0.026
1.800	-0.012	-0.010	0.017	0.017
1.867	-0.012	-0.009	0.009	0.035
1.933	-0.010	-0.006	0.052	0.035
2.000	-0.005	-0.005	0.061	0.078
2.067	-0.002	0.005	0.043	0.009
2.133	0.001	-0.003	0.052	-0.026
2.200	0.005	0.001	0.052	0.035
2.267	0.008	0.001	0.078	-0.009
2.333	0.015	0.000	0.130	-0.000
2.400	0.026	0.001	0.139	-0.026
2.467	0.034	-0.003	-0.035	-0.026
2.533	0.021	-0.002	-0.757	0.200
2.600	-0.067	0.023	-2.001	0.592
2.667	-0.246	0.077	-2.523	0.600
2.733	-0.404	0.103	-1.566	0.278
2.800	-0.455	0.114	-0.391	0.435
2.867	-0.456	0.161	0.009	0.391
2.933	-0.454	0.166	0.009	0.017
3.000	-0.455	0.164	0.000	-0.000
3.067	-0.454	0.166	0.017	0.052
3.133	-0.452	0.171	0.009	0.061
3.200	-0.452	0.174	0.000	0.026
3.267	-0.452	0.174	0.000	-0.043
3.333	-0.452	0.168	0.043	-0.148
3.400	-0.447	0.154	0.035	-0.139
3.467	-0.448	0.150	-0.043	-0.078
3.533	-0.452	0.144	-0.148	-0.000
3.600	-0.467	0.150	-0.113	0.139
3.667	-0.467	0.162	0.217	0.157
3.733	-0.438	0.171	1.166	0.139
3.800	-0.312	0.181	2.305	-0.261
3.867	-0.131	0.136	1.992	-0.861
3.933	-0.046	0.066	0.809	-0.826
4.000	-0.023	0.026	0.226	-0.296
4.067	-0.016	0.027	0.026	0.122
4.133	-0.020	0.042	-0.009	0.122
4.200	-0.017	0.043	0.052	0.009
4.267	-0.013	0.043	0.043	0.009
4.333	-0.012	0.044	0.009	0.009
4.400	-0.012	0.044	0.000	-0.000
4.467	-0.012	0.044	0.000	-0.000
4.533	-0.012	0.044	0.009	-0.061
4.600	-0.010	0.036		
