masse_A
time	x	y	v_{x}	v_{y}
0.400	0.018	0.017	0	0
0.433	0.018	0.025	-0.067	0.198
0.467	0.014	0.030	-0.000	0.066
0.500	0.018	0.029	0.066	-0.022
0.533	0.018	0.029	0.000	0.000
0.567	0.018	0.029	-0.010	0.030
0.600	0.017	0.031	0.012	0.030
0.633	0.019	0.031	-0.044	-0.044
0.667	0.015	0.028	-0.088	-0.055
0.700	0.013	0.027	-0.044	-0.033
0.733	0.012	0.026	-0.055	-0.044
0.767	0.009	0.024	-0.055	-0.022
0.800	0.008	0.024	-0.033	-0.033
0.833	0.007	0.022	-0.055	-0.033
0.867	0.004	0.022	-0.077	-0.011
0.900	0.002	0.021	-0.088	-0.011
0.933	-0.002	0.021	-0.132	-0.001
0.967	-0.007	0.021	-0.077	0.044
1.000	-0.007	0.024	-0.044	0.022
1.033	-0.010	0.023	-0.077	-0.066
1.067	-0.012	0.020	-0.044	-0.077
1.100	-0.013	0.018	0.000	-0.088
1.133	-0.012	0.014	0.055	-0.088
1.167	-0.009	0.012	0.132	-0.043
1.200	-0.003	0.011	0.242	-0.032
1.233	0.007	0.010	0.330	-0.042
1.267	0.019	0.008	0.473	-0.053
1.300	0.039	0.006	0.561	-0.052
1.333	0.056	0.005	0.451	-0.031
1.367	0.069	0.004	0.538	0.014
1.400	0.092	0.006	0.670	0.014
1.433	0.114	0.005	0.637	0.003
1.467	0.135	0.006	0.736	0.048
1.500	0.163	0.008	0.846	0.048
1.533	0.191	0.009	0.670	0.069
1.567	0.207	0.013	0.670	0.146
1.600	0.236	0.019	0.768	0.191
1.633	0.258	0.026	0.636	0.168
1.667	0.278	0.030	0.615	0.113
1.700	0.299	0.033	0.527	0.145
1.733	0.313	0.040	0.549	0.146
1.767	0.336	0.043	0.483	0.134
1.800	0.346	0.049	0.285	0.122
1.833	0.355	0.051	0.241	0.056
1.867	0.362	0.052	0.187	0.034
1.900	0.367	0.053	0.099	0.033
1.933	0.368	0.055	0.066	0.011
1.967	0.372	0.054	0.055	0.055
2.000	0.372	0.058	0.055	0.066
2.033	0.376	0.058	0.000	0.000
2.067	0.372	0.058	-0.066	0.088
2.100	0.371	0.064	-0.044	0.066
2.133	0.369	0.063	-0.055	-0.033
2.167	0.367	0.062	-0.055	0.022
2.200	0.365	0.064	-0.066	0.077
2.233	0.363	0.067	-0.066	-0.022
2.267	0.361	0.063	-0.055	-0.066
2.300	0.359	0.063	-0.066	0.055
2.333	0.356	0.066	-0.077	0.044
2.367	0.354	0.066	-0.110	-0.023
2.400	0.349	0.065	-0.044	0.044
2.433	0.351	0.068	0.011	0.055
2.467	0.350	0.068	-0.044	-0.011
2.500	0.348	0.068	-0.066	-0.033
2.533	0.345	0.066	-0.109	-0.121
2.567	0.341	0.060	-0.121	-0.001
2.600	0.337	0.066	-0.121	0.065
2.633	0.333	0.064	-0.077	-0.022
2.667	0.332	0.065	-0.132	-0.001
2.700	0.324	0.064	-0.198	-0.012
2.733	0.319	0.064	-0.165	-0.045
2.767	0.313	0.061	-0.066	0.011
2.800	0.315	0.065	0.351	0.046
2.833	0.337	0.064	0.846	-0.007
2.867	0.371	0.064	1.416	0.304
2.900	0.431	0.084	2.194	0.714
2.933	0.517	0.112	2.655	0.870
2.967	0.608	0.142	2.721	0.761
3.000	0.699	0.163	2.547	0.342
3.033	0.778	0.165	1.725	-0.046
3.067	0.814	0.159	0.691	0.256
3.100	0.824	0.182	0.018	0.879
3.133	0.815	0.218	-0.190	0.658
3.167	0.811	0.226	-0.055	0.110
3.200	0.811	0.225	-0.000	0.044
3.233	0.811	0.229	-0.000	0.066
3.267	0.811	0.230	-0.000	0.077
3.300	0.811	0.234	0.022	-0.033
3.333	0.813	0.228	0.033	-0.077
3.367	0.813	0.229	-0.033	0.066
3.400	0.810	0.232	-0.067	0.132
3.433	0.809	0.238	-0.000	0.044
3.467	0.810	0.235	0.000	-0.022
3.500	0.809	0.236	-0.066	0.011
3.533	0.806	0.236	-0.011	0.022
3.567	0.808	0.238	-0.011	-0.011
3.600	0.805	0.235	-0.054	-0.143
3.633	0.805	0.228	-0.010	-0.143
3.667	0.805	0.225	0.034	-0.154
3.700	0.807	0.218	-0.043	-0.143
3.733	0.802	0.216	-0.066	-0.077
3.767	0.803	0.213	0.077	-0.066
3.800	0.807	0.211	0.066	-0.022
3.833	0.807	0.211	0.121	0.001
3.867	0.815	0.211	0.351	0.079
3.900	0.830	0.217	0.241	0.144
3.933	0.831	0.221	-0.022	0.088
3.967	0.829	0.223	-0.078	0.153
4.000	0.826	0.231	-0.429	0.152
4.033	0.800	0.233	-1.121	0.082
4.067	0.751	0.237	-2.000	0.122
4.100	0.667	0.241	-2.801	-0.157
4.133	0.564	0.226	-2.722	-0.662
4.167	0.485	0.197	-1.994	-1.076
4.200	0.431	0.155	-1.236	-1.182
4.233	0.403	0.118	-0.720	-0.971
4.267	0.383	0.090	-0.371	-0.441
4.300	0.378	0.088	-0.132	-0.012
4.333	0.375	0.089	-0.088	0.098
4.367	0.372	0.095	-0.044	0.099
4.400	0.372	0.096	-0.000	0.033
4.433	0.372	0.097	-0.078	0.142
4.467	0.366	0.105	-0.133	0.153
4.500	0.364	0.107	-0.044	-0.011
4.533	0.364	0.104	0.000	-0.044
4.567	0.364	0.104	0.000	0.000
4.600	0.364	0.104	0.000	0.000
4.633	0.364	0.104	0.000	0.000
4.667	0.364	0.104	-0.000	0.011
4.700	0.364	0.105	-0.033	0.011
4.733	0.361	0.105	-0.022	0.011
4.767	0.362	0.106	-0.022	0.055
4.800	0.360	0.109	-0.011	0.022
4.833	0.361	0.107	0.044	-0.099
4.867	0.363	0.102	0.023	-0.143
4.900	0.363	0.098		
