masse_A
t	x	y
0.400	0.005	0.002
0.467	0.012	-0.001
0.533	0.012	-0.009
0.600	0.017	0.008
0.667	0.021	0.008
0.733	0.018	0.008
0.800	0.018	0.006
0.867	0.014	0.007
0.933	0.009	0.007
1.000	0.009	0.007
1.067	0.009	0.008
1.133	0.009	0.008
1.200	-0.001	0.004
1.267	0.000	-0.003
1.333	0.007	-0.001
1.400	0.030	0.003
1.467	0.061	-0.002
1.533	0.107	-0.002
1.600	0.169	0.010
1.667	0.227	-0.001
1.733	0.279	0.010
1.800	0.333	0.015
1.867	0.361	0.020
1.933	0.408	0.011
2.000	0.434	0.012
2.067	0.434	0.016
2.133	0.430	0.016
2.200	0.425	0.015
2.267	0.423	0.017
2.333	0.423	0.024
2.400	0.418	0.030
2.467	0.418	0.036
2.533	0.416	0.041
2.600	0.418	0.036
2.667	0.418	0.030
2.733	0.421	0.026
2.800	0.426	0.016
2.867	0.456	0.012
2.933	0.546	0.023
3.000	0.691	0.062
3.067	0.830	0.107
3.133	0.920	0.115
3.200	0.936	0.159
3.267	0.943	0.187
3.333	0.943	0.193
3.400	0.938	0.190
3.467	0.935	0.184
3.533	0.931	0.177
3.600	0.933	0.172
3.667	0.936	0.169
3.733	0.946	0.165
3.800	0.947	0.168
3.867	0.944	0.152
3.933	0.936	0.145
4.000	0.910	0.152
4.067	0.830	0.158
4.133	0.681	0.142
4.200	0.536	0.093
4.267	0.452	0.041
4.333	0.409	-0.005
4.400	0.413	0.003
4.467	0.425	0.015
4.533	0.430	0.032
4.600	0.426	0.030
4.667	0.426	0.033
4.733	0.426	0.034
4.800	0.426	0.038
4.867	0.433	0.038
4.933	0.434	0.036
5.000	0.433	0.038
