masse_A
time	x	y	v_{x}	v_{y}
0.000	-0.002	0.005	0	0
0.067	-0.007	0.007	-0.039	0.126
0.133	-0.007	0.022	-0.039	0.181
0.200	-0.012	0.031	-0.039	0.086
0.267	-0.012	0.033	0.000	0.008
0.333	-0.012	0.032	0.000	-0.024
0.400	-0.012	0.030	-0.031	-0.133
0.467	-0.017	0.014	-0.063	-0.141
0.533	-0.021	0.011	-0.063	-0.110
0.600	-0.025	-0.000	-0.086	-0.188
0.667	-0.032	-0.014	-0.188	-0.314
0.733	-0.050	-0.042	-0.330	-0.353
0.800	-0.076	-0.061	-0.503	-0.361
0.867	-0.117	-0.090	-0.581	-0.298
0.933	-0.154	-0.101	-0.730	-0.188
1.000	-0.214	-0.115	-0.958	-0.086
1.067	-0.281	-0.112	-0.997	0.016
1.133	-0.347	-0.113	-0.903	-0.016
1.200	-0.402	-0.114	-0.722	-0.110
1.267	-0.444	-0.128	-0.526	-0.228
1.333	-0.472	-0.145	-0.267	-0.212
1.400	-0.479	-0.156	-0.031	-0.251
1.467	-0.476	-0.178	0.165	-0.236
1.533	-0.457	-0.188	0.275	-0.165
1.600	-0.440	-0.200	0.228	-0.039
1.667	-0.427	-0.193	0.126	-0.055
1.733	-0.423	-0.207	0.063	-0.181
1.800	-0.419	-0.217	0.079	-0.165
1.867	-0.412	-0.229	0.118	-0.188
1.933	-0.403	-0.242	0.149	-0.212
2.000	-0.392	-0.258	0.102	-0.181
2.067	-0.389	-0.266	0.110	-0.086
2.133	-0.378	-0.269	0.086	-0.024
2.200	-0.378	-0.269	-0.008	-0.039
2.267	-0.379	-0.274	-0.071	-0.055
2.333	-0.387	-0.277	-0.165	0.024
2.400	-0.401	-0.271	-0.558	0.173
2.467	-0.462	-0.254	-0.989	0.722
2.533	-0.533	-0.175	-1.304	1.421
2.600	-0.635	-0.064	-1.602	1.869
2.667	-0.746	0.074	-1.492	2.560
2.733	-0.834	0.277	-0.832	3.125
2.800	-0.857	0.491	0.157	3.259
2.867	-0.813	0.712	0.746	3.125
2.933	-0.758	0.908	1.429	2.646
3.000	-0.623	1.065	2.160	1.900
3.067	-0.470	1.161	1.767	0.997
3.133	-0.387	1.198	1.037	0.408
3.200	-0.332	1.215	0.628	0.188
3.267	-0.303	1.223	0.220	0.110
3.333	-0.302	1.230	0.008	0.047
3.400	-0.302	1.229	-0.016	-0.016
3.467	-0.304	1.228	-0.016	-0.008
3.533	-0.304	1.228	0.008	-0.031
3.600	-0.303	1.224	0.008	-0.031
3.667	-0.303	1.224	0.024	-0.000
3.733	-0.300	1.224	0.024	0.031
3.800	-0.300	1.228	-0.008	0.008
3.867	-0.301	1.225	-0.016	-0.039
3.933	-0.302	1.223	-0.086	-0.024
4.000	-0.313	1.222	-0.393	-0.094
4.067	-0.355	1.210	-0.746	-0.267
4.133	-0.412	1.186	-1.209	-0.683
4.200	-0.516	1.119	-1.586	-1.335
4.267	-0.624	1.008	-1.563	-2.034
4.333	-0.724	0.848	-1.209	-2.552
4.400	-0.785	0.668	-0.573	-3.188
4.467	-0.801	0.423	0.353	-3.722
4.533	-0.738	0.172	1.115	-3.322
4.600	-0.652	-0.020	1.539	-2.379
4.667	-0.533	-0.146	1.531	-1.523
4.733	-0.448	-0.223	1.249	-0.864
4.800	-0.366	-0.261	0.825	-0.393
4.867	-0.338	-0.276	0.369	-0.173
4.933	-0.317	-0.284	0.126	-0.031
5.000	-0.321	-0.280	-0.039	0.079
5.067	-0.322	-0.273	0.000	0.071
5.133	-0.321	-0.270	0.008	0.024
5.200	-0.321	-0.270	-0.008	0.024
5.267	-0.322	-0.267	-0.008	0.024
5.333	-0.322	-0.267	-0.008	0.016
5.400	-0.323	-0.265	-0.024	0.094
5.467	-0.325	-0.255	-0.008	0.220
5.533	-0.324	-0.236	-0.024	0.149
5.600	-0.329	-0.235	-0.031	0.047
5.667	-0.329	-0.229	0.016	0.039
5.733	-0.326	-0.229		
