masse_A
t	x	y
0.333	-0.000	0.010
0.400	-0.000	0.010
0.467	0.002	0.010
0.533	-0.003	0.021
0.600	0.002	0.031
0.667	0.012	0.034
0.733	0.013	0.038
0.800	0.022	0.045
0.867	0.022	0.044
0.933	0.022	0.044
1.000	0.027	0.044
1.067	0.039	0.034
1.133	0.044	0.030
1.200	0.060	0.009
1.267	0.088	-0.016
1.333	0.114	-0.044
1.400	0.146	-0.082
1.467	0.182	-0.117
1.533	0.212	-0.154
1.600	0.264	-0.181
1.667	0.315	-0.195
1.733	0.364	-0.190
1.800	0.404	-0.202
1.867	0.432	-0.220
1.933	0.442	-0.228
2.000	0.442	-0.233
2.067	0.433	-0.238
2.133	0.424	-0.249
2.200	0.414	-0.268
2.267	0.404	-0.272
2.333	0.393	-0.285
2.400	0.384	-0.291
2.467	0.373	-0.303
2.533	0.376	-0.312
2.600	0.399	-0.307
2.667	0.458	-0.284
2.733	0.581	-0.197
2.800	0.745	-0.020
2.867	0.866	0.255
2.933	0.881	0.583
3.000	0.743	0.865
3.067	0.536	1.039
3.133	0.438	1.116
3.200	0.380	1.152
3.267	0.345	1.143
3.333	0.338	1.143
3.400	0.330	1.145
3.467	0.326	1.147
3.533	0.320	1.147
3.600	0.320	1.147
3.667	0.312	1.147
3.733	0.304	1.138
3.800	0.300	1.130
3.867	0.319	1.117
3.933	0.380	1.103
4.000	0.497	1.039
4.067	0.637	0.882
4.133	0.763	0.615
4.200	0.797	0.256
4.267	0.635	-0.122
4.333	0.429	-0.272
4.400	0.338	-0.325
4.467	0.352	-0.317
4.533	0.377	-0.306
4.600	0.389	-0.293
4.667	0.397	-0.280
4.733	0.406	-0.254
4.800	0.408	-0.252
4.867	0.410	-0.246
4.933	0.417	-0.238
5.000	0.416	-0.233
5.067	0.424	-0.237
