masse_A
time	x	y	v_{x}	v_{y}
0.067	0.003	-0.001	0	0
0.133	0.004	0.007	0.010	0.059
0.200	0.004	0.007	0.020	-0.010
0.267	0.007	0.005	0.010	-0.000
0.333	0.005	0.007	-0.039	0.010
0.400	0.001	0.007	-0.049	0.049
0.467	-0.001	0.013	-0.147	0.127
0.533	-0.018	0.023	-0.156	0.078
0.600	-0.022	0.023	-0.039	-0.000
0.667	-0.023	0.023	-0.088	0.010
0.733	-0.034	0.025	-0.147	-0.039
0.800	-0.043	0.018	-0.195	-0.137
0.867	-0.060	0.007	-0.225	-0.176
0.933	-0.073	-0.005	-0.371	-0.127
1.000	-0.109	-0.010	-0.567	-0.049
1.067	-0.148	-0.012	-0.508	0.020
1.133	-0.177	-0.008	-0.528	0.098
1.200	-0.219	0.001	-0.625	0.088
1.267	-0.261	0.004	-0.703	-0.029
1.333	-0.313	-0.003	-0.762	-0.000
1.400	-0.362	0.004	-0.615	0.293
1.467	-0.395	0.036	-0.342	0.440
1.533	-0.408	0.063	-0.244	0.391
1.600	-0.427	0.089	-0.127	0.303
1.667	-0.425	0.103	0.000	0.195
1.733	-0.427	0.115	0.020	0.147
1.800	-0.422	0.122	0.127	0.020
1.867	-0.410	0.117	0.156	-0.117
1.933	-0.401	0.107	0.137	-0.147
2.000	-0.392	0.098	0.088	-0.166
2.067	-0.389	0.085	0.029	-0.244
2.133	-0.388	0.065	0.010	-0.234
2.200	-0.388	0.053	0.000	-0.088
2.267	-0.388	0.053	0.010	-0.049
2.333	-0.387	0.047	-0.039	-0.107
2.400	-0.393	0.039	-0.176	-0.020
2.467	-0.410	0.044	-0.264	0.381
2.533	-0.429	0.090	-0.283	0.782
2.600	-0.448	0.148	-0.459	1.182
2.667	-0.490	0.247	-0.586	1.661
2.733	-0.526	0.370	-0.449	1.827
2.800	-0.550	0.491	-0.274	1.954
2.867	-0.563	0.630	-0.059	2.051
2.933	-0.557	0.765	0.234	1.983
3.000	-0.531	0.895	0.361	1.885
3.067	-0.509	1.016	0.303	1.622
3.133	-0.491	1.111	0.371	1.280
3.200	-0.460	1.187	0.401	0.860
3.267	-0.438	1.226	0.313	0.430
3.333	-0.418	1.244	0.215	0.137
3.400	-0.409	1.244	0.156	0.020
3.467	-0.397	1.247	0.088	-0.010
3.533	-0.397	1.243	-0.039	-0.059
3.600	-0.402	1.239	-0.020	-0.059
3.667	-0.400	1.235	0.000	0.010
3.733	-0.402	1.240	-0.010	0.039
3.800	-0.401	1.240	0.010	-0.020
3.867	-0.401	1.237	-0.010	-0.029
3.933	-0.402	1.236	-0.059	-0.049
4.000	-0.409	1.231	-0.049	-0.039
4.067	-0.409	1.231	0.020	0.068
4.133	-0.406	1.240	0.029	0.068
4.200	-0.405	1.240	0.088	-0.127
4.267	-0.395	1.223	0.176	-0.391
4.333	-0.382	1.188	0.127	-0.742
4.400	-0.378	1.124	-0.029	-1.329
4.467	-0.386	1.011	-0.303	-1.739
4.533	-0.418	0.892	-0.381	-1.983
4.600	-0.436	0.746	-0.264	-2.413
4.667	-0.453	0.571	-0.088	-2.628
4.733	-0.448	0.396	0.088	-2.472
4.800	-0.442	0.241	0.020	-1.895
4.867	-0.445	0.143	0.088	-1.143
4.933	-0.430	0.089	0.107	-0.479
5.000	-0.431	0.079	-0.059	-0.117
5.067	-0.438	0.073	-0.059	-0.049
5.133	-0.439	0.073	-0.029	-0.010
5.200	-0.442	0.072	-0.020	-0.059
5.267	-0.442	0.065	0.039	-0.049
5.333	-0.436	0.065	0.088	-0.020
5.400	-0.430	0.063	0.049	-0.020
5.467	-0.430	0.063	0.059	-0.010
5.533	-0.422	0.061	0.059	-0.010
5.600	-0.422	0.061	-0.020	-0.078
5.667	-0.425	0.051	-0.137	-0.147
5.733	-0.440	0.042		
