masse_A
time	x	y	v_{x}	v_{y}
0.067	0.397	-0.078	0	0
0.133	0.399	-0.070	0.010	0.059
0.200	0.399	-0.070	0.020	-0.010
0.267	0.401	-0.072	0.010	-0.000
0.333	0.400	-0.070	-0.039	0.010
0.400	0.396	-0.070	-0.049	0.049
0.467	0.393	-0.064	-0.147	0.127
0.533	0.376	-0.053	-0.156	0.078
0.600	0.373	-0.053	-0.039	-0.000
0.667	0.371	-0.053	-0.088	0.010
0.733	0.361	-0.052	-0.147	-0.039
0.800	0.352	-0.059	-0.195	-0.137
0.867	0.335	-0.070	-0.225	-0.176
0.933	0.322	-0.082	-0.371	-0.127
1.000	0.285	-0.087	-0.567	-0.049
1.067	0.246	-0.089	-0.508	0.020
1.133	0.218	-0.085	-0.528	0.098
1.200	0.176	-0.076	-0.625	0.088
1.267	0.134	-0.073	-0.703	-0.029
1.333	0.082	-0.079	-0.762	-0.000
1.400	0.033	-0.073	-0.615	0.293
1.467	0.000	-0.040	-0.342	0.440
1.533	-0.013	-0.014	-0.244	0.391
1.600	-0.033	0.012	-0.127	0.303
1.667	-0.030	0.026	0.000	0.195
1.733	-0.033	0.038	0.020	0.147
1.800	-0.027	0.046	0.127	0.020
1.867	-0.016	0.040	0.156	-0.117
1.933	-0.007	0.030	0.137	-0.147
2.000	0.003	0.021	0.088	-0.166
2.067	0.005	0.008	0.029	-0.244
2.133	0.007	-0.012	0.010	-0.234
2.200	0.007	-0.023	0.000	-0.088
2.267	0.007	-0.023	0.010	-0.049
2.333	0.008	-0.030	-0.039	-0.107
2.400	0.001	-0.038	-0.176	-0.020
2.467	-0.016	-0.033	-0.264	0.381
2.533	-0.034	0.013	-0.283	0.782
2.600	-0.053	0.072	-0.459	1.182
2.667	-0.095	0.171	-0.586	1.661
2.733	-0.132	0.293	-0.449	1.827
2.800	-0.155	0.414	-0.274	1.954
2.867	-0.168	0.554	-0.059	2.051
2.933	-0.163	0.688	0.234	1.983
3.000	-0.137	0.818	0.361	1.885
3.067	-0.115	0.939	0.303	1.622
3.133	-0.096	1.034	0.371	1.280
3.200	-0.065	1.110	0.401	0.860
3.267	-0.043	1.149	0.313	0.430
3.333	-0.023	1.167	0.215	0.137
3.400	-0.014	1.167	0.156	0.020
3.467	-0.003	1.170	0.088	-0.010
3.533	-0.003	1.166	-0.039	-0.059
3.600	-0.008	1.162	-0.020	-0.059
3.667	-0.005	1.158	0.000	0.010
3.733	-0.008	1.163	-0.010	0.039
3.800	-0.007	1.163	0.010	-0.020
3.867	-0.007	1.161	-0.010	-0.029
3.933	-0.008	1.159	-0.059	-0.049
4.000	-0.014	1.154	-0.049	-0.039
4.067	-0.014	1.154	0.020	0.068
4.133	-0.012	1.163	0.029	0.068
4.200	-0.010	1.163	0.088	-0.127
4.267	0.000	1.146	0.176	-0.391
4.333	0.013	1.111	0.127	-0.742
4.400	0.017	1.047	-0.029	-1.329
4.467	0.009	0.934	-0.303	-1.739
4.533	-0.023	0.815	-0.381	-1.983
4.600	-0.042	0.669	-0.264	-2.413
4.667	-0.059	0.494	-0.088	-2.628
4.733	-0.053	0.319	0.088	-2.472
4.800	-0.047	0.164	0.020	-1.895
4.867	-0.051	0.066	0.088	-1.143
4.933	-0.035	0.012	0.107	-0.479
5.000	-0.036	0.003	-0.059	-0.117
5.067	-0.043	-0.004	-0.059	-0.049
5.133	-0.044	-0.004	-0.029	-0.010
5.200	-0.047	-0.005	-0.020	-0.059
5.267	-0.047	-0.012	0.039	-0.049
5.333	-0.042	-0.012	0.088	-0.020
5.400	-0.035	-0.014	0.049	-0.020
5.467	-0.035	-0.014	0.059	-0.010
5.533	-0.027	-0.016	0.059	-0.010
5.600	-0.027	-0.016	-0.020	-0.078
5.667	-0.030	-0.026	-0.137	-0.147
5.733	-0.046	-0.035		
